VARNAMES:,CID,IDSURVEY,TYPE,FIELD,CUTFLAG_SNANA,zHEL,zHELERR,zCMB,zCMBERR,zHD,zHDERR,VPEC,VPECERR,MWEBV,HOST_LOGMASS,HOST_LOGMASS_ERR,HOST_sSFR,HOST_sSFR_ERR,PKMJDINI,SNRMAX1,SNRMAX2,SNRMAX3,PKMJD,PKMJDERR,x1,x1ERR,c,cERR,mB,mBERR,x0,x0ERR,COV_x1_c,COV_x1_x0,COV_c_x0,NDOF,FITCHI2,FITPROB,SIM_TYPE_INDEX,SIM_TEMPLATE_INDEX,SIM_LIBID,SIM_NGEN_LIBID,SIM_ZCMB,SIM_ZFLAG,SIM_VPEC,SIM_DLMAG,SIM_PKMJD,SIM_x1,SIM_c,SIM_alpha,SIM_beta,SIM_x0,SIM_mB,SIM_AV,SIM_RV,SIM_SHAPE,SIMNULL1,SIMSED_Cart_INDEX,SIMSED_Mejecta,SIMSED_Vejecta,SIMSED_Fnick,SIMSED_Kappagamma,SIMSED_Temperature
SN:,282105,12,111,-9.0,3,0.6894100000000001,0.2631,0.68775,0.2631,0.68775,0.26311,0,300,0.00885576,-9,-9,-9,-9,60197.1,50.0098,37.1701,20.0791,60198.4,0.215,-0.41111499999999995,0.14215999999999998,-0.07345510000000001,0.029296199999999998,23.5388,0.0249114,6.8939499999999994e-06,1.58176e-07,-0.000184702,-6.6736800000000005e-09,-2.02598e-09,44,56.4276,0.0990671,11,0,118,1,0.68775,0,115.162,43.1022,60198.9,-0.281702,-0.046746499999999996,0.14,3.1,6.32894e-06,23.6317,-9.0,-9.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
SN:,170186,12,111,-9.0,3,0.65738,0.0408,0.65563,0.0408,0.65563,0.04083,0,300,0.0110556,-9,-9,-9,-9,60227.1,63.9086,43.707,25.7269,60226.9,0.217,0.3981,0.15597,-0.08318539999999999,0.027610700000000002,23.3493,0.0235764,8.20879e-06,1.78251e-07,5.8860299999999996e-05,-6.26269e-09,-2.9572600000000006e-09,28,18.215,0.92061,11,0,24,1,0.65563,0,167.331,42.9755,60227.1,0.68771,-0.042347300000000004,0.14,3.1,7.958239999999999e-06,23.383,-9.0,-9.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
SN:,193766,12,111,-9.0,3,0.77795,0.0328,0.77675,0.0328,0.77675,0.03285,0,300,0.0182855,-9,-9,-9,-9,60621.3,21.3328,20.1456,13.882,60623.6,0.293,-2.26187,0.26881,-0.058320500000000004,0.033604,24.1733,0.0325407,3.843119999999999e-06,1.15183e-07,0.00108467,-1.3342499999999999e-08,-2.64093e-10,32,26.4051,0.74541,11,0,120,1,0.77675,0,-91.8417,43.4253,60623.3,-2.30288,-0.0620948,0.14,3.1,3.7836e-06,24.1902,-9.0,-9.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
SN:,20235,12,111,-9.0,3,0.9799700000000001,0.2733,0.98219,0.2733,0.98219,0.27331,0,300,0.020803400000000003,-9,-9,-9,-9,59666.0,10.8183,10.1969,5.31393,59676.7,0.926,0.61366,0.80903,-0.00574168,0.044758400000000004,24.6288,0.0712118,2.52619e-06,1.65689e-07,0.010004299999999999,-9.075720000000001e-08,9.63875e-10,28,34.7258,0.17799,11,0,16,1,0.98219,0,29.4459,44.0496,59677.1,0.81355,-0.0103688,0.14,3.1,2.74528e-06,24.5385,-9.0,-9.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
SN:,237362,12,111,-9.0,3,0.9899399999999999,0.2431,0.9885200000000001,0.2431,0.9885200000000001,0.24311,0,300,0.0184642,-9,-9,-9,-9,60538.3,11.9408,9.88157,5.21164,60527.8,0.577,-1.56845,0.0289835,-0.0318566,0.00485688,24.666,0.058127899999999996,2.44118e-06,1.30695e-07,0.00542905,-3.68367e-08,1.8863999999999998e-10,56,49.4302,0.72012,11,0,32,1,0.9885200000000001,0,165.11,44.0708,60526.2,-0.830241,-0.032325,0.14,3.1,2.31884e-06,24.7218,-9.0,-9.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
SN:,175794,12,111,-9.0,3,0.918,0.0351,0.91794,0.0351,0.91794,0.03515,0,300,0.0185202,-9,-9,-9,-9,60162.2,11.8005,9.137839999999999,8.66443,60161.5,1.035,-1.11776,0.67201,-0.0524438,0.043463699999999994,24.7218,0.0550811,2.31898e-06,1.17645e-07,0.00416569,-3.40479e-08,1.2368e-09,56,58.8406,0.37191,11,0,57,1,0.91794,0,-230.93099999999998,43.8706,60160.5,-0.575124,0.018146400000000003,0.14,3.1,2.4949e-06,24.6424,-9.0,-9.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
SN:,178617,12,111,-9.0,3,1.0372299999999999,0.0871,1.0369700000000002,0.0871,1.0369700000000002,0.08713,0,300,0.0205358,-9,-9,-9,-9,60508.3,9.28305,8.884260000000001,3.16972,60518.7,1.008,2.3839799999999998,1.21238,-0.00147786,0.0866204,24.6892,0.12502,2.38951e-06,2.7514199999999996e-07,0.0360885,-2.83478e-07,3.23937e-11,47,50.1687,0.34893,11,0,92,1,1.0369700000000002,0,-174.143,44.198,60520.6,1.07362,0.0042468,0.14,3.1,2.37497e-06,24.6959,-9.0,-9.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
SN:,197428,12,111,-9.0,3,1.01321,0.0445,1.01304,0.0445,1.01304,0.04455,0,300,0.0203787,-9,-9,-9,-9,59884.1,12.4339,12.3408,4.60501,59890.3,1.797,0.38795999999999997,0.8875200000000001,0.022782900000000002,0.084353,24.619,0.0676563,2.54915e-06,1.58847e-07,0.034098199999999995,1.8021e-08,5.900270000000001e-09,14,8.40012,0.86746,11,0,75,1,1.01304,0,-213.493,44.1352,59888.7,-0.52067,-0.0466991,0.14,3.1,2.3695699999999997e-06,24.6983,-9.0,-9.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
SN:,219057,12,111,-9.0,3,1.28288,0.0367,1.2803,0.0367,1.2803,0.03677,0,300,0.0105296,-9,-9,-9,-9,60249.1,7.630319999999999,7.47036,3.8750400000000003,60253.0,2.676,-1.53029,0.99679,-0.00328051,0.0843296,25.0307,0.16906,1.7447200000000001e-06,2.71665e-07,0.0035719,-3.07358e-08,1.808e-08,14,11.2375,0.6672899999999999,11,0,46,1,1.2803,0,276.764,44.7665,60257.2,-0.10856400000000001,-0.038574800000000006,0.14,3.1,1.36505e-06,25.2971,-9.0,-9.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
SN:,300866,12,111,-9.0,3,1.17031,0.1353,1.1695,0.1353,1.1695,0.13532,0,300,0.021228,-9,-9,-9,-9,59752.4,8.87066,7.43582,3.02601,59750.7,3.639,-1.50022,1.1921899999999999,-0.0774611,0.0884506,24.8466,0.14868,2.06715e-06,2.83072e-07,-0.00493122,3.07561e-08,1.45134e-08,37,30.195,0.77837,11,0,80,1,1.1695,0,-25.5045,44.5217,59744.5,1.05344,-0.0453082,0.14,3.1,2.0253900000000003e-06,24.8687,-9.0,-9.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
