VARNAMES:,CID,IDSURVEY,TYPE,FIELD,CUTFLAG_SNANA,zHEL,zHELERR,zCMB,zCMBERR,zHD,zHDERR,VPEC,VPECERR,MWEBV,HOST_LOGMASS,HOST_LOGMASS_ERR,HOST_sSFR,HOST_sSFR_ERR,PKMJDINI,SNRMAX1,SNRMAX2,SNRMAX3,PKMJD,PKMJDERR,x1,x1ERR,c,cERR,mB,mBERR,x0,x0ERR,COV_x1_c,COV_x1_x0,COV_c_x0,NDOF,FITCHI2,FITPROB,SIM_TYPE_INDEX,SIM_TEMPLATE_INDEX,SIM_LIBID,SIM_NGEN_LIBID,SIM_ZCMB,SIM_ZFLAG,SIM_VPEC,SIM_DLMAG,SIM_PKMJD,SIM_x1,SIM_c,SIM_alpha,SIM_beta,SIM_x0,SIM_mB,SIM_AV,SIM_RV,SIM_SHAPE,SIMNULL1,SIMSED_stretch,SIMSED_color
SN:,26369,12,111,-9.0,3,0.82805,0.0415,0.8261700000000001,0.0415,0.8261700000000001,0.04154,0,300,0.00870234,-9,-9,-9,-9,60668.1,10.2513,8.32661,6.49416,60685.2,0.041,-0.9658770000000001,0.46497,-0.054252199999999993,0.08301789999999999,24.2349,0.16345,3.63101e-06,5.46622e-07,0.012278200000000001,-2.21225e-07,-3.82159e-09,8,11.6911,0.16552999999999998,11,0,7,1,0.8261700000000001,0,353.532,43.5908,60687.0,-0.5273479999999999,-0.047493900000000006,0.14,3.1,3.91783e-06,24.1524,-9,-9,-99.0,-99.0,-99.0,-99.0
SN:,69703,12,111,-9.0,3,0.55655,0.9579,0.55401,0.9579,0.55401,0.9579,0,300,0.018033900000000002,-9,-9,-9,-9,59896.2,68.6398,48.036,35.8461,59888.1,0.176,-0.896906,0.13701,-0.00638127,0.022540599999999997,23.2296,0.0232224,9.165499999999999e-06,1.96037e-07,0.00020296799999999999,-7.80931e-09,-2.8850199999999996e-09,51,50.1695,0.50659,11,0,91,1,0.55401,0,364.35900000000004,42.5329,59888.3,-0.799411,-0.0240513,0.14,3.1,9.37368e-06,23.2052,-9,-9,-99.0,-99.0,-99.0,-99.0
SN:,151669,12,111,-9.0,3,1.0932600000000001,0.2558,1.0917,0.2558,1.0917,0.25581,0,300,0.0202193,-9,-9,-9,-9,60238.4,12.1169,11.1426,5.40868,60246.8,0.731,0.88164,0.42182,-0.026655099999999998,0.0630698,24.3394,0.0688957,3.2979400000000005e-06,2.09272e-07,0.00282122,-4.3396800000000004e-08,6.31617e-09,26,39.7983,0.04082569999999999,11,0,47,1,1.0917,0,-38.8571,44.3375,60247.6,1.06946,-0.0601798,0.14,3.1,2.5090900000000004e-06,24.6362,-9,-9,-99.0,-99.0,-99.0,-99.0
SN:,176450,12,111,-9.0,3,0.75793,0.0377,0.75697,0.0377,0.75697,0.037739999999999996,0,300,0.00903317,-9,-9,-9,-9,60300.1,37.952,34.4542,22.3542,60307.2,1.57,2.03103,1.234,-0.0516558,0.033336000000000005,23.7694,0.041995,5.575159999999999e-06,2.15641e-07,0.0052029,-1.7447199999999998e-07,-1.04752e-09,16,4.0872,0.99875,11,0,27,1,0.75697,0,73.3846,43.3563,60305.7,0.77578,-0.0507537,0.14,3.1,5.80595e-06,23.7253,-9,-9,-99.0,-99.0,-99.0,-99.0
SN:,187326,12,111,-9.0,3,0.45424,0.001,0.45111,0.001,0.45111,0.00177,0,300,0.0205358,-9,-9,-9,-9,59752.4,48.4625,44.3763,28.0987,59736.4,0.065,0.74874,0.2828,0.0934328,0.029907299999999998,22.7611,0.043093099999999995,1.41106e-05,5.60051e-07,0.00251182,-1.17357e-07,-1.2021600000000002e-08,35,38.4637,0.31553000000000003,11,0,92,1,0.45111,0,757.693,41.9988,59734.3,1.0992,0.0693112,0.14,3.1,1.50003e-05,22.6947,-9,-9,-99.0,-99.0,-99.0,-99.0
SN:,291536,12,111,-9.0,3,0.63489,0.0135,0.63441,0.0135,0.63441,0.013590000000000001,0,300,0.019191099999999996,-9,-9,-9,-9,59933.1,47.983,26.5603,17.2922,59944.8,0.008,-0.611907,0.24781999999999998,-0.0774311,0.038391800000000004,23.419,0.0542137,7.698489999999999e-06,3.8440600000000003e-07,0.000907115,-7.85284e-08,-3.6251e-09,12,6.66982,0.87864,11,0,28,1,0.63441,0,-268.322,42.8868,59946.2,-0.11046099999999999,-0.0860562,0.14,3.1,8.826569999999999e-06,23.2705,-9,-9,-99.0,-99.0,-99.0,-99.0
SN:,107498,12,111,-9.0,3,0.5123300000000001,0.001,0.51413,0.001,0.51413,0.00181,0,300,0.00611278,-9,-9,-9,-9,60241.2,96.1753,59.3245,41.0571,60236.0,0.138,-0.551771,0.12118,0.0109126,0.0212105,22.967,0.022688099999999996,1.1673e-05,2.43925e-07,2.69577e-05,-6.95591e-09,-3.7115399999999998e-09,56,42.2162,0.9136299999999999,11,0,115,1,0.51413,0,-708.555,42.3312,60235.9,-0.577975,0.013890999999999999,0.14,3.1,1.0420999999999999e-05,23.0902,-9,-9,-99.0,-99.0,-99.0,-99.0
SN:,207713,12,111,-9.0,3,0.9664,0.001,0.96625,0.001,0.96625,0.00221,0,300,0.022516099999999997,-9,-9,-9,-9,59854.1,13.5714,9.46513,6.52705,59856.2,0.686,0.15792,0.51977,-0.0147556,0.040474699999999995,24.7917,0.05653009999999999,2.17431e-06,1.13208e-07,0.00426344,-3.40115e-08,9.633799999999998e-10,40,43.4447,0.32682,11,0,68,1,0.96625,0,-187.91099999999997,44.0083,59856.1,0.13646,0.055754700000000004,0.14,3.1,2.1637299999999997e-06,24.797,-9,-9,-99.0,-99.0,-99.0,-99.0
SN:,177903,12,111,-9.0,3,0.61573,0.0067,0.61652,0.0067,0.61652,0.00689,0,300,0.0204305,-9,-9,-9,-9,59588.2,22.4042,20.7568,18.1871,59560.9,2.869,-0.0900414,0.92164,-0.169507,0.10246,22.7667,0.19401,1.4038800000000002e-05,2.50859e-06,0.0613365,-1.28266e-06,-2.38358e-07,16,3.3321400000000003,0.99966,11,0,88,1,0.61652,0,323.092,42.8096,59560.0,0.51552,-0.131708,0.14,3.1,1.17047e-05,22.9641,-9,-9,-99.0,-99.0,-99.0,-99.0
SN:,37737,12,111,-9.0,3,0.85444,0.0355,0.85393,0.0355,0.85393,0.03555,0,300,0.016039400000000002,-9,-9,-9,-9,59660.1,8.16737,7.850410000000001,5.7575400000000005,59660.7,0.932,0.40345,0.6593,0.20924,0.0505665,24.5861,0.0593492,2.6277099999999997e-06,1.43637e-07,0.00364978,-6.182919999999999e-08,-2.93951e-12,32,13.8857,0.9977799999999999,11,0,59,1,0.85393,0,798.704,43.6776,59661.0,0.42999,0.13852,0.14,3.1,2.40595e-06,24.6818,-9,-9,-99.0,-99.0,-99.0,-99.0
