VARNAMES:,CID,IDSURVEY,TYPE,FIELD,CUTFLAG_SNANA,zHEL,zHELERR,zCMB,zCMBERR,zHD,zHDERR,VPEC,VPECERR,MWEBV,HOST_LOGMASS,HOST_LOGMASS_ERR,HOST_sSFR,HOST_sSFR_ERR,PKMJDINI,SNRMAX1,SNRMAX2,SNRMAX3,PKMJD,PKMJDERR,x1,x1ERR,c,cERR,mB,mBERR,x0,x0ERR,COV_x1_c,COV_x1_x0,COV_c_x0,NDOF,FITCHI2,FITPROB,SIM_TYPE_INDEX,SIM_TEMPLATE_INDEX,SIM_LIBID,SIM_NGEN_LIBID,SIM_ZCMB,SIM_ZFLAG,SIM_VPEC,SIM_DLMAG,SIM_PKMJD,SIM_x1,SIM_c,SIM_alpha,SIM_beta,SIM_x0,SIM_mB,SIM_AV,SIM_RV,SIM_SHAPE,SIMNULL1,LCLIB_SEED,LCLIB_TAU,LCLIB_SFU,LCLIB_SFG,LCLIB_SFR,LCLIB_SFI,LCLIB_SFZ,LCLIB_SFY,LCLIB_REDSHIFT,LCLIB_EVENT_ID
SN:,105820,12,111,-9.0,3,0.87916,0.001,0.87725,0.001,0.87725,0.00213,0,300,0.018615700000000002,-9,-9,-9,-9,60652.2,28.9153,20.0025,19.8804,60656.4,1.21,0.61055,0.68042,-0.00563202,0.0357771,23.9272,0.0401036,4.82093e-06,1.7806999999999998e-07,0.00636802,-1.8083499999999998e-08,1.17241e-09,12,10.9633,0.5320699999999999,11,0,44,1,0.87725,0,97.605,43.7513,60656.4,0.9651,-0.0228476,0.14,3.1,3.8182300000000005e-06,24.1803,-9,-9,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
SN:,31229,12,111,-9.0,3,0.41701000000000005,0.2457,0.41575,0.2457,0.41575,0.2457,0,300,0.00846776,-9,-9,-9,-9,60300.1,21.4354,18.0993,11.7924,60316.5,1.225,-1.36659,0.28558,-0.253666,0.13352,21.9564,0.31492,2.961e-05,8.58844e-06,0.0180558,1.1377899999999999e-06,-4.861760000000001e-07,6,0.9489,0.9874799999999999,11,0,35,1,0.41575,0,206.055,41.7855,60319.7,0.82204,-0.057878399999999997,0.14,3.1,2.53275e-05,22.126,-9,-9,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
SN:,207433,12,111,-9.0,3,1.22685,0.0464,1.22659,0.0464,1.22659,0.04645,0,300,0.013787299999999999,-9,-9,-9,-9,60223.2,10.6044,10.5994,4.86151,60228.4,1.112,-0.32779200000000003,0.8665799999999999,-0.08246010000000001,0.0626941,24.97,0.0994033,1.84509e-06,1.6892499999999999e-07,0.00835305,-5.56154e-08,6.7386800000000006e-09,41,24.745,0.97895,11,0,110,1,1.22659,0,-202.395,44.6492,60227.9,-0.35869,-0.09233730000000001,0.14,3.1,1.71688e-06,25.0481,-9,-9,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
SN:,42560,12,111,-9.0,3,0.55972,0.001,0.55913,0.001,0.55913,0.00185,0,300,0.0184642,-9,-9,-9,-9,60184.4,53.154,40.2553,28.2091,60182.8,0.167,0.39319,0.12405,-0.033821199999999996,0.0285108,23.0425,0.0275686,1.0889300000000001e-05,2.76497e-07,0.000188533,-1.19838e-08,-5.78345e-09,56,50.7455,0.67342,11,0,32,1,0.55913,0,-25.1603,42.5543,60182.8,0.44948999999999995,-0.00566189,0.14,3.1,1.0244300000000001e-05,23.1088,-9,-9,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
SN:,169701,12,111,-9.0,3,1.04401,0.3247,1.04236,0.3247,1.04236,0.32471,0,300,0.0073296,-9,-9,-9,-9,60665.1,18.9407,17.0812,4.80299,60667.1,0.053,-0.5103,0.50958,-0.0417295,0.0624227,24.7286,0.052051599999999996,2.3044999999999997e-06,1.10481e-07,0.00894662,-1.0572700000000002e-08,3.3173600000000002e-09,14,20.6833,0.14726,11,0,76,1,1.04236,0,253.014,44.2134,60668.6,1.0451,0.00466387,0.14,3.1,2.33016e-06,24.7165,-9,-9,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
SN:,332766,12,111,-9.0,3,0.6703100000000001,0.001,0.67388,0.001,0.67388,0.00195,0,300,0.017603,-9,-9,-9,-9,60327.4,17.9751,17.7344,12.219,60322.7,2.309,-0.8340879999999999,0.53555,-0.00281449,0.044414,23.8079,0.07647269999999999,5.38052e-06,3.7897199999999996e-07,-0.00676627,1.04418e-07,-8.75876e-09,36,38.4543,0.35899000000000003,11,0,15,1,0.67388,0,-489.065,43.0413,60320.8,0.12664,0.0223751,0.14,3.1,5.79186e-06,23.7279,-9,-9,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
SN:,23248,12,111,-9.0,3,0.66189,0.001,0.6627,0.001,0.6627,0.00194,0,300,0.00848908,-9,-9,-9,-9,60668.1,64.801,43.7054,24.9642,60676.0,1.154,0.033742400000000006,0.79565,-0.0806728,0.0320555,23.409,0.034762400000000006,7.769669999999999e-06,2.48764e-07,0.00803294,-2.15423e-08,-2.19233e-09,12,8.320089999999999,0.75964,11,0,103,1,0.6627,0,-441.81699999999995,43.0006,60678.4,1.4041,-0.018815099999999998,0.14,3.1,7.97508e-06,23.3807,-9,-9,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
SN:,255185,12,111,-9.0,3,0.54708,0.001,0.54786,0.001,0.54786,0.00184,0,300,0.00611278,-9,-9,-9,-9,60297.1,97.7307,71.6265,56.2079,60294.9,0.367,1.31303,0.29449000000000003,-0.0783685,0.021225,22.7847,0.0225987,1.3808099999999999e-05,2.87404e-07,0.00191596,-3.3050399999999997e-08,-4.4479200000000005e-09,26,12.9732,0.98421,11,0,115,1,0.54786,0,-408.795,42.499,60294.5,1.0250700000000001,-0.07878550000000001,0.14,3.1,1.43058e-05,22.7462,-9,-9,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
SN:,114471,12,111,-9.0,3,0.75407,0.0341,0.75356,0.0341,0.75356,0.03414,0,300,0.0138733,-9,-9,-9,-9,59842.2,23.5701,20.1546,14.6199,59845.4,0.41,0.29935,0.2419,0.020548,0.0319816,24.0448,0.029893299999999998,4.32596e-06,1.1910500000000001e-07,0.000587511,-1.2430700000000001e-08,-1.10633e-09,60,79.1223,0.049684,11,0,89,1,0.75356,0,-65.8906,43.3437,59845.4,0.34347,0.0203466,0.14,3.1,4.53454e-06,23.9937,-9,-9,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
SN:,148116,12,111,-9.0,3,0.9449799999999999,0.0139,0.94365,0.0139,0.94365,0.01404,0,300,0.0187179,-9,-9,-9,-9,59826.3,10.3377,7.916869999999999,4.5874,59816.8,1.025,0.85164,0.9010299999999999,0.028198200000000003,0.06033009999999999,24.7771,0.11429,2.2037e-06,2.31968e-07,0.0129821,-1.71692e-07,4.24287e-10,52,50.4647,0.53445,11,0,124,1,0.94365,0,-83.7858,43.9461,59818.0,0.5839300000000001,0.10919000000000001,0.14,3.1,2.0838900000000002e-06,24.8378,-9,-9,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
