VARNAMES:,CID,IDSURVEY,TYPE,FIELD,CUTFLAG_SNANA,zHEL,zHELERR,zCMB,zCMBERR,zHD,zHDERR,VPEC,VPECERR,MWEBV,HOST_LOGMASS,HOST_LOGMASS_ERR,HOST_sSFR,HOST_sSFR_ERR,PKMJDINI,SNRMAX1,SNRMAX2,SNRMAX3,PKMJD,PKMJDERR,x1,x1ERR,c,cERR,mB,mBERR,x0,x0ERR,COV_x1_c,COV_x1_x0,COV_c_x0,NDOF,FITCHI2,FITPROB,SIM_TYPE_INDEX,SIM_TEMPLATE_INDEX,SIM_LIBID,SIM_NGEN_LIBID,SIM_ZCMB,SIM_ZFLAG,SIM_VPEC,SIM_DLMAG,SIM_PKMJD,SIM_x1,SIM_c,SIM_alpha,SIM_beta,SIM_x0,SIM_mB,SIM_AV,SIM_RV,SIM_SHAPE,SIMNULL1,SIMSED_SLSN_INDEX,SIMSED_bfield,SIMSED_mns,SIMSED_pspin,SIMSED_kappa,SIMSED_kappagamma,SIMSED_mej,SIMSED_temp,SIMSED_vej
SN:,285499,12,111,-9.0,3,0.90043,0.2157,0.8991,0.2157,0.8991,0.21570999999999999,0,300,0.0156118,-9,-9,-9,-9,59887.1,14.0354,12.825,8.8279,59895.8,0.253,0.5916600000000001,0.45105,0.10203,0.0456429,24.3028,0.062948,3.4109899999999998e-06,1.9776e-07,0.00210975,-5.8227699999999994e-08,9.6412e-10,12,9.97665,0.6180100000000001,11,0,85,1,0.8991,0,143.687,43.8165,59894.2,0.20748000000000003,0.0386104,0.14,3.1,2.73617e-06,24.5421,-9.0,-9.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
SN:,75964,12,111,-9.0,3,0.97591,0.094,0.9759399999999999,0.094,0.9759399999999999,0.09402,0,300,0.0106885,-9,-9,-9,-9,59782.3,33.7289,29.1327,18.0401,59785.6,0.377,1.11756,0.28576,-0.116935,0.029237400000000004,23.8863,0.037153399999999996,5.005730000000001e-06,1.71294e-07,0.00121656,-2.7459500000000002e-08,6.66472e-10,64,65.7711,0.41528999999999994,11,0,70,1,0.9759399999999999,0,-444.902,44.0348,59785.7,1.33625,-0.113176,0.14,3.1,3.99237e-06,24.1319,-9.0,-9.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
SN:,119827,12,111,-9.0,3,0.9133399999999999,0.2174,0.91081,0.2174,0.91081,0.21741,0,300,0.0184642,-9,-9,-9,-9,59800.3,11.3132,10.7174,9.528039999999999,59800.7,0.826,-0.64535,0.46798,-0.0576129,0.0410745,24.5782,0.052301099999999996,2.64688e-06,1.27503e-07,0.00406834,-2.85996e-08,8.64422e-10,64,47.4443,0.93973,11,0,32,1,0.91081,0,508.21,43.8525,59800.8,-0.38803499999999996,-0.037277199999999996,0.14,3.1,3.04428e-06,24.4263,-9.0,-9.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
SN:,215804,12,111,-9.0,3,1.03494,0.0188,1.03741,0.0188,1.03741,0.01891,0,300,0.026040800000000003,-9,-9,-9,-9,60415.0,11.8691,10.5206,3.8739199999999996,60420.9,1.506,-1.4696200000000001,0.9172100000000001,-0.0683414,0.0839499,24.8017,0.0812786,2.15438e-06,1.61278e-07,0.026249400000000003,-8.340949999999999e-08,3.40057e-09,14,15.6728,0.33376,11,0,48,1,1.03741,0,-24.0006,44.1962,60420.8,-0.606503,-0.0539923,0.14,3.1,2.26204e-06,24.7488,-9.0,-9.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
SN:,8739,12,111,-9.0,3,1.2377,0.2076,1.23643,0.2076,1.23643,0.20761,0,300,0.00916309,-9,-9,-9,-9,59857.2,9.64989,7.36943,4.83139,59851.2,0.994,-0.664352,0.6330600000000001,-0.0403844,0.0620294,24.9257,0.0937256,1.9218400000000002e-06,1.65902e-07,0.00575628,-4.05087e-08,6.2597999999999994e-09,59,52.3603,0.7169399999999999,11,0,63,1,1.23643,0,128.303,44.6716,59851.6,0.0192706,-0.0499522,0.14,3.1,1.5644899999999997e-06,25.1491,-9.0,-9.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
SN:,294937,12,111,-9.0,3,0.6562600000000001,0.1982,0.65499,0.1982,0.65499,0.19821,0,300,0.021228,-9,-9,-9,-9,60124.3,9.13815,6.7043,5.3375,60109.8,2.278,-1.67117,0.8777299999999999,0.038513900000000004,0.12845,24.0161,0.19523,4.44185e-06,7.987000000000001e-07,0.0267291,-3.68264e-07,-6.54954e-08,24,22.0788,0.5745600000000001,11,0,80,1,0.65499,0,178.155,42.9723,60106.2,-1.72948,-0.0192696,0.14,3.1,5.471659999999999e-06,23.7897,-9.0,-9.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
SN:,178885,12,111,-9.0,3,0.78315,0.001,0.7830199999999999,0.001,0.7830199999999999,0.00204,0,300,0.00846776,-9,-9,-9,-9,60651.2,28.3574,17.7854,17.0774,60644.5,0.287,0.7811600000000001,0.22712,0.14137,0.0306558,24.0078,0.028081099999999998,4.47587e-06,1.15762e-07,0.000659505,-1.3373e-08,-1.13945e-09,40,28.8949,0.90374,11,0,35,1,0.7830199999999999,0,-179.03900000000002,43.4455,60644.4,1.07785,0.0544939,0.14,3.1,4.11717e-06,24.0985,-9.0,-9.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
SN:,274754,12,111,-9.0,3,1.18784,0.0927,1.1862,0.0927,1.1862,0.09272000000000001,0,300,0.0214592,-9,-9,-9,-9,60577.0,14.6417,14.3081,6.2147,60585.9,0.705,1.35954,0.52253,-0.183832,0.0501573,24.4507,0.06652050000000001,2.97664e-06,1.8237200000000001e-07,0.00310552,-4.0787800000000003e-08,5.2443499999999996e-09,29,25.3771,0.65854,11,0,58,1,1.1862,0,217.266,44.5606,60586.6,1.15228,-0.19201600000000002,0.14,3.1,3.0088099999999997e-06,24.439,-9.0,-9.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
SN:,166868,12,111,-9.0,3,1.2551299999999999,0.1359,1.25289,0.1359,1.25289,0.13592,0,300,0.013002799999999998,-9,-9,-9,-9,59872.1,14.6687,12.3278,6.4517,59869.5,0.887,0.31090999999999996,0.50573,-0.14222100000000001,0.053228599999999994,24.9011,0.0836024,1.9659400000000004e-06,1.51379e-07,0.00403234,-2.30779e-08,5.4061400000000005e-09,32,46.2343,0.049596100000000004,11,0,82,1,1.25289,0,157.541,44.7081,59869.8,0.61535,-0.0899809,0.14,3.1,1.8315e-06,24.978,-9.0,-9.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
SN:,69,12,111,-9.0,3,0.90461,0.1092,0.90399,0.1092,0.90399,0.10922,0,300,0.0200875,-9,-9,-9,-9,60535.2,15.652,15.415,11.0809,60539.0,0.524,-1.5432299999999999,0.61703,-0.0535675,0.0382034,24.4272,0.0461926,3.0416900000000006e-06,1.29409e-07,0.00393467,-3.75875e-08,8.92872e-10,60,52.3894,0.74695,11,0,50,1,0.90399,0,-37.4762,43.8302,60536.9,-0.8478379999999999,0.0008331860000000001,0.14,3.1,2.62666e-06,24.5865,-9.0,-9.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
SN:,18414,12,111,-9.0,3,1.42669,0.1277,1.42957,0.1277,1.42957,0.12772999999999998,0,300,0.0180075,-9,-9,-9,-9,60031.0,6.383769999999999,6.15634,4.317830000000001,60034.4,1.645,-0.49015299999999995,1.01029,-0.112169,0.0692891,25.2185,0.18199,1.46756e-06,2.45997e-07,0.013708600000000001,-9.697789999999999e-08,1.17371e-08,20,10.461,0.9590200000000001,11,0,55,1,1.42957,0,-18.9566,45.0575,60035.8,-0.000627035,-0.0766697,0.14,3.1,1.18039e-06,25.4549,-9.0,-9.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
SN:,166478,12,111,-9.0,3,1.05995,0.1022,1.05955,0.1022,1.05955,0.10222,0,300,0.0203787,-9,-9,-9,-9,59854.1,8.5109,8.197989999999999,3.51055,59860.5,0.976,-0.732083,0.6154,-0.0669903,0.0746971,25.0203,0.07420360000000001,1.76145e-06,1.20385e-07,0.00968684,-3.03949e-08,4.230979999999999e-09,29,23.2505,0.7649600000000001,11,0,75,1,1.05955,0,-151.27200000000002,44.256,59859.4,-0.8459549999999999,0.0199929,0.14,3.1,1.6805e-06,25.0714,-9.0,-9.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
SN:,336965,12,111,-9.0,3,0.89707,0.001,0.89676,0.001,0.89676,0.00214,0,300,0.017937400000000003,-9,-9,-9,-9,60508.3,9.9449,8.83698,6.19969,60510.3,0.065,-0.469988,0.43185,0.0185629,0.0538001,24.3509,0.0748404,3.2633299999999997e-06,2.2494299999999998e-07,0.00568299,-6.83857e-08,7.53867e-11,48,48.0434,0.47108999999999995,11,0,100,1,0.89676,0,-146.628,43.8083,60510.3,-0.023410499999999997,-0.039256900000000004,0.14,3.1,3.3422000000000004e-06,24.3249,-9.0,-9.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
