VARNAMES:,CID,IDSURVEY,TYPE,FIELD,CUTFLAG_SNANA,zHEL,zHELERR,zCMB,zCMBERR,zHD,zHDERR,VPEC,VPECERR,MWEBV,HOST_LOGMASS,HOST_LOGMASS_ERR,HOST_sSFR,HOST_sSFR_ERR,PKMJDINI,SNRMAX1,SNRMAX2,SNRMAX3,PKMJD,PKMJDERR,x1,x1ERR,c,cERR,mB,mBERR,x0,x0ERR,COV_x1_c,COV_x1_x0,COV_c_x0,NDOF,FITCHI2,FITPROB,SIM_TYPE_INDEX,SIM_TEMPLATE_INDEX,SIM_LIBID,SIM_NGEN_LIBID,SIM_ZCMB,SIM_ZFLAG,SIM_VPEC,SIM_DLMAG,SIM_PKMJD,SIM_x1,SIM_c,SIM_alpha,SIM_beta,SIM_x0,SIM_mB,SIM_AV,SIM_RV,SIM_SHAPE,SIMNULL1,SIMSED_pc1,SIMSED_pc2,SIMSED_pc3,SIMSED_II_INDEX,SIMSED_IIN_INDEX,SIMSED_Mejecta,SIMSED_Kinetic_energy,SIMSED_Mcsm,SIMSED_R0,SIMSED_Rho
SN:,313304,12,111,-9.0,3,1.00397,0.232,1.0018799999999999,0.232,1.0018799999999999,0.23201,0,300,0.022516099999999997,-9,-9,-9,-9,60490.3,7.65292,7.4581100000000005,4.11116,60488.3,0.235,2.12645,1.37729,0.0933544,0.07188489999999999,24.8228,0.0881996,2.11295e-06,1.71645e-07,0.0296954,-1.0414300000000001e-07,3.6342800000000004e-09,40,37.5782,0.57982,11,0,68,1,1.0018799999999999,0,389.156,44.1075,60494.2,0.56453,0.050249,0.14,3.1,2.11977e-06,24.8193,-9.0,-9.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
SN:,165092,12,111,-9.0,3,0.56789,0.001,0.56813,0.001,0.56813,0.00186,0,300,0.026657,-9,-9,-9,-9,60045.0,60.1311,51.1808,38.7679,60046.8,0.243,0.57418,0.15014,0.00985988,0.0284693,23.0369,0.026356599999999997,1.09457e-05,2.6570900000000004e-07,0.00042841300000000005,-8.93e-09,-5.755020000000001e-09,16,10.9945,0.80982,11,0,107,1,0.56813,0,471.348,42.5951,60046.8,0.56855,0.0266822,0.14,3.1,9.13555e-06,23.2332,-9.0,-9.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
SN:,181407,12,111,-9.0,3,0.96604,0.0471,0.96795,0.0471,0.96795,0.047139999999999994,0,300,0.015625200000000002,-9,-9,-9,-9,60019.1,10.9763,10.6044,8.25853,60022.5,0.152,-0.9309649999999999,0.51399,-0.00426299,0.0442169,24.7436,0.06119630000000001,2.27277e-06,1.28102e-07,0.00161225,-3.2498099999999996e-08,1.90981e-09,28,36.7477,0.12453,11,0,26,1,0.96795,0,113.61399999999999,44.0107,60023.5,-0.475171,0.00775719,0.14,3.1,2.28817e-06,24.7363,-9.0,-9.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
SN:,207027,12,111,-9.0,3,0.47647,0.001,0.4776,0.001,0.4776,0.00179,0,300,0.0243817,-9,-9,-9,-9,60376.1,84.8748,59.8159,44.8335,60382.0,0.131,0.5926899999999999,0.11531,-0.028348500000000002,0.0202548,22.6493,0.0229843,1.5640799999999998e-05,3.31106e-07,0.00011386799999999999,-1.09291e-08,-4.89635e-09,46,57.4915,0.11921,11,0,49,1,0.4776,0,178.21599999999998,42.1403,60382.2,0.5495399999999999,0.017411900000000004,0.14,3.1,1.42255e-05,22.7523,-9.0,-9.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
SN:,270936,12,111,-9.0,3,0.68647,0.001,0.6855899999999999,0.001,0.6855899999999999,0.00196,0,300,0.0185259,-9,-9,-9,-9,59839.1,38.219,25.5099,18.5704,59825.4,0.216,0.81965,0.25549,-0.0635862,0.0312776,23.4738,0.0366081,7.319199999999999e-06,2.46784e-07,0.00177511,-4.6025300000000006e-08,-4.01036e-09,52,47.3544,0.65687,11,0,116,1,0.6855899999999999,0,60.3912,43.0928,59824.9,0.48308999999999996,-0.0658546,0.14,3.1,7.4404e-06,23.456,-9.0,-9.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
SN:,188951,12,111,-9.0,3,0.90264,0.0544,0.90048,0.0544,0.90048,0.05442999999999999,0,300,0.0183372,-9,-9,-9,-9,60124.3,7.23262,5.653230000000001,3.55937,60095.8,0.333,-0.272083,1.7653900000000002,0.04328,0.15804,23.6728,0.33013000000000003,6.09384e-06,1.85292e-06,0.16705,-3.1929200000000005e-06,-1.70689e-07,20,31.6597,0.047062599999999996,11,0,132,1,0.90048,0,426.264,43.8215,60100.0,0.47877,-0.105245,0.14,3.1,4.25304e-06,24.0633,-9.0,-9.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
SN:,162803,12,111,-9.0,3,1.27945,0.0391,1.27839,0.0391,1.27839,0.039169999999999996,0,300,0.013002799999999998,-9,-9,-9,-9,59872.1,8.68807,7.994610000000001,5.41852,59857.4,0.908,0.64669,0.6783600000000001,-0.09261889999999999,0.057712400000000004,25.0508,0.11008,1.71275e-06,1.73658e-07,0.0023733,-6.25884e-08,6.3163199999999995e-09,35,25.2721,0.88694,11,0,82,1,1.27839,0,-200.82299999999998,44.7611,59855.8,0.51958,-0.105397,0.14,3.1,1.8003799999999998e-06,24.9966,-9.0,-9.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
SN:,256332,12,111,-9.0,3,1.01465,0.3102,1.01371,0.3102,1.01371,0.31021,0,300,0.00734744,-9,-9,-9,-9,60627.3,24.0236,17.8933,7.0773,60618.0,0.448,-0.38319699999999995,0.28898,-0.0786379,0.050617,24.4363,0.0378856,3.01632e-06,1.0525100000000001e-07,0.00158497,-1.1128200000000001e-08,1.55861e-09,44,42.0936,0.5536300000000001,11,0,34,1,1.01371,0,45.4827,44.1378,60618.1,-0.130437,-0.0839016,0.14,3.1,2.76445e-06,24.531,-9.0,-9.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
SN:,137723,12,111,-9.0,3,0.75543,0.001,0.75447,0.001,0.75447,0.00202,0,300,0.013327799999999999,-9,-9,-9,-9,59916.1,42.2272,40.9924,24.1274,59917.9,0.203,0.3189,0.14942,-0.06914989999999999,0.0270139,23.6905,0.023498599999999998,5.99528e-06,1.29756e-07,0.000206078,-6.34228e-09,-1.4513399999999999e-09,40,28.0848,0.92175,11,0,122,1,0.75447,0,65.8636,43.3475,59918.1,0.56482,-0.0569462,0.14,3.1,5.79773e-06,23.7268,-9.0,-9.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
SN:,111025,12,111,-9.0,3,1.05549,0.012,1.05185,0.012,1.05185,0.01218,0,300,0.018712599999999996,-9,-9,-9,-9,60197.2,17.5294,11.4678,6.17687,60207.7,0.752,1.85202,0.5876899999999999,-0.120433,0.0583587,24.6083,0.0640817,2.57442e-06,1.51946e-07,0.005006,-5.0875000000000004e-08,3.57645e-09,32,32.8139,0.42694,11,0,20,1,1.05185,0,854.431,44.2398,60207.4,1.11394,-0.0434702,0.14,3.1,2.63242e-06,24.5841,-9.0,-9.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
