VARNAMES:,CID,IDSURVEY,TYPE,FIELD,CUTFLAG_SNANA,zHEL,zHELERR,zCMB,zCMBERR,zHD,zHDERR,VPEC,VPECERR,MWEBV,HOST_LOGMASS,HOST_LOGMASS_ERR,HOST_sSFR,HOST_sSFR_ERR,PKMJDINI,SNRMAX1,SNRMAX2,SNRMAX3,PKMJD,PKMJDERR,x1,x1ERR,c,cERR,mB,mBERR,x0,x0ERR,COV_x1_c,COV_x1_x0,COV_c_x0,NDOF,FITCHI2,FITPROB,SIM_TYPE_INDEX,SIM_TEMPLATE_INDEX,SIM_LIBID,SIM_NGEN_LIBID,SIM_ZCMB,SIM_ZFLAG,SIM_VPEC,SIM_DLMAG,SIM_PKMJD,SIM_x1,SIM_c,SIM_alpha,SIM_beta,SIM_x0,SIM_mB,SIM_AV,SIM_RV,SIM_SHAPE,SIMNULL1,SIMSED_Iax_INDEX,SIMSED_M_V,SIMSED_t_rise,SIMSED_dm15B,SIMSED_dm15R
SN:,278302,12,111,-9.0,3,0.9455100000000001,0.1036,0.94232,0.1036,0.94232,0.10362,0,300,0.0106428,-9,-9,-9,-9,60508.4,8.81596,6.42661,5.16897,60495.5,1.819,-2.75347,0.881,0.0950933,0.0808392,24.6791,0.0949274,2.41186e-06,2.1087199999999998e-07,0.00580655,-8.933960000000001e-08,4.28445e-09,43,58.2211,0.060578,11,0,109,1,0.94232,0,527.298,43.9444,60487.1,-0.345918,0.0126363,0.14,3.1,2.43894e-06,24.667,-9,-9,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
SN:,109923,12,111,-9.0,3,0.89051,0.0798,0.8896200000000001,0.0798,0.8896200000000001,0.07982,0,300,0.0171907,-9,-9,-9,-9,60278.1,14.8063,11.7045,7.7336100000000005,60278.8,1.894,0.72409,1.7258900000000001,0.0845671,0.052815499999999994,24.673,0.06366319999999999,2.42549e-06,1.42221e-07,0.054683,-1.84706e-07,-2.49125e-09,19,12.1921,0.87725,11,0,31,1,0.8896200000000001,0,-218.19099999999997,43.7876,60279.1,-0.505504,0.0363694,0.14,3.1,2.57962e-06,24.6061,-9,-9,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
SN:,45898,12,111,-9.0,3,1.11704,0.0371,1.11697,0.0371,1.11697,0.037160000000000006,0,300,0.0170245,-9,-9,-9,-9,59813.1,12.0265,9.79447,5.17491,59823.0,0.829,2.5112,0.74527,-0.0320574,0.0594293,24.6591,0.0822897,2.45683e-06,1.86207e-07,0.00732517,-9.901989999999999e-08,3.53941e-09,44,30.5398,0.93839,11,0,69,1,1.11697,0,-261.407,44.3974,59822.0,0.7951199999999999,-0.13633299999999998,0.14,3.1,2.84842e-06,24.4985,-9,-9,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
SN:,327098,12,111,-9.0,3,1.0822,0.0996,1.07928,0.0996,1.07928,0.09962,0,300,0.0106428,-9,-9,-9,-9,60153.3,10.0879,7.988589999999999,3.93592,60146.2,1.666,0.0981038,0.93068,0.07335889999999999,0.1052,24.9227,0.12715,1.92719e-06,2.25695e-07,0.0290024,-1.35957e-07,5.62246e-09,38,27.4548,0.89717,11,0,109,1,1.07928,0,419.47900000000004,44.3082,60145.8,0.59497,0.045898800000000003,0.14,3.1,1.7911400000000001e-06,25.0022,-9,-9,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
SN:,212820,12,111,-9.0,3,0.86472,0.0307,0.862,0.0307,0.862,0.03075,0,300,0.018952,-9,-9,-9,-9,60165.3,9.5481,8.644739999999999,4.96926,60152.0,7.359,0.9445,1.82197,0.19258,0.12435,24.7099,0.26592,2.3444799999999996e-06,5.74206e-07,0.11184000000000001,-2.50107e-07,-4.78265e-08,30,24.8754,0.73106,11,0,21,1,0.862,0,350.642,43.7053,60151.9,0.75336,0.10079,0.14,3.1,2.72332e-06,24.5472,-9,-9,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
SN:,311928,12,111,-9.0,3,1.03912,0.0152,1.03675,0.0152,1.03675,0.015340000000000001,0,300,0.0135942,-9,-9,-9,-9,59930.1,21.2456,16.3846,4.83891,59933.5,1.156,1.04741,0.79228,-0.0858362,0.057368100000000005,24.7557,0.0460778,2.2475599999999996e-06,9.538460000000001e-08,0.017843599999999998,-2.68975e-08,1.66898e-09,20,15.8748,0.72436,11,0,83,1,1.03675,0,457.62300000000005,44.1997,59933.1,0.55799,-0.011779600000000001,0.14,3.1,2.32266e-06,24.72,-9,-9,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
SN:,153021,12,111,-9.0,3,1.19212,0.065,1.19123,0.065,1.19123,0.06504,0,300,0.012535,-9,-9,-9,-9,59933.1,7.8846,6.28132,3.5812800000000005,59926.2,1.96,1.08229,1.3355,-0.0216055,0.0832429,25.5971,0.10529000000000001,1.03553e-06,1.00417e-07,0.0457502,-4.0846599999999993e-08,4.35205e-09,29,18.0235,0.94379,11,0,123,1,1.19123,0,-6.31522,44.5712,59922.3,-0.8102520000000001,0.0482332,0.14,3.1,1.1650299999999998e-06,25.4692,-9,-9,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
SN:,57437,12,111,-9.0,3,0.98213,0.0652,0.9861200000000001,0.0652,0.9861200000000001,0.06523,0,300,0.020132,-9,-9,-9,-9,59688.0,8.18832,6.51973,4.52856,59689.5,2.069,0.52578,1.50542,-0.0285089,0.06823380000000001,25.1495,0.0812206,1.56394e-06,1.16993e-07,0.0604986,-5.63733e-08,1.78928e-09,24,21.8937,0.5856100000000001,11,0,126,1,0.9861200000000001,0,-501.449,44.0583,59689.8,-2.2559,-0.0188554,0.14,3.1,1.87807e-06,24.9507,-9,-9,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
SN:,337258,12,111,-9.0,3,1.2929700000000002,0.058,1.29281,0.058,1.29281,0.05805,0,300,0.013787299999999999,-9,-9,-9,-9,59870.2,7.003610000000001,5.86527,4.15979,59876.5,1.26,-2.69865,0.69729,-0.149818,0.0736455,25.4882,0.14146,1.1448299999999998e-06,1.4915800000000002e-07,0.00038710199999999995,-3.7346199999999993e-08,8.21947e-09,53,56.2711,0.3535,11,0,110,1,1.29281,0,-239.59799999999998,44.7903,59878.5,-2.5483,-0.0976219,0.14,3.1,1.15402e-06,25.4795,-9,-9,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
SN:,199374,12,111,-9.0,3,0.9116700000000001,0.2208,0.9129799999999999,0.2208,0.9129799999999999,0.22080999999999998,0,300,0.017603,-9,-9,-9,-9,60003.2,26.5285,26.1658,14.9094,60003.7,0.308,0.35699000000000003,0.27976999999999996,-0.160459,0.029942200000000002,23.8685,0.0385755,5.0883800000000006e-06,1.8078700000000002e-07,0.000488085,-2.90523e-08,8.42739e-10,40,30.7653,0.8528100000000001,11,0,15,1,0.9129799999999999,0,272.2,43.8545,60003.9,0.6020300000000001,-0.09867260000000001,0.14,3.1,4.113869999999999e-06,24.0994,-9,-9,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
SN:,63191,12,111,-9.0,3,1.07625,0.1255,1.07536,0.1255,1.07536,0.12552,0,300,0.0170245,-9,-9,-9,-9,59854.1,7.65343,7.6002600000000005,3.78933,59853.3,0.951,-1.02373,0.78282,-0.0202769,0.081924,25.0898,0.0852215,1.65231e-06,1.29693e-07,0.0189318,-4.9190500000000006e-08,4.1046e-09,29,21.4443,0.84246,11,0,69,1,1.07536,0,-7.84232,44.2963,59852.6,0.21227,0.0644347,0.14,3.1,1.63483e-06,25.1013,-9,-9,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
SN:,196380,12,111,-9.0,3,0.8749,0.2264,0.8772399999999999,0.2264,0.8772399999999999,0.22641,0,300,0.0243817,-9,-9,-9,-9,59679.0,8.84345,7.186139999999999,4.2777199999999995,59682.6,1.859,0.15694,1.25522,0.12127,0.08018650000000001,24.9216,0.0810192,1.92905e-06,1.43948e-07,0.060728599999999994,-1.27952e-07,-3.74435e-09,24,36.4648,0.0494407,11,0,49,1,0.8772399999999999,0,-44.3198,43.7463,59679.5,-0.611504,0.0706807,0.14,3.1,2.3965000000000003e-06,24.6861,-9,-9,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
SN:,290011,12,111,-9.0,3,0.93389,0.0057,0.9344600000000001,0.0057,0.9344600000000001,0.00602,0,300,0.0183372,-9,-9,-9,-9,60490.3,5.94522,5.04645,3.75812,60488.0,9.879,1.8609099999999998,2.03373,0.26905999999999997,0.14118,25.27,0.20377,1.39964e-06,2.62685e-07,-0.00270615,-1.06891e-07,-1.07653e-08,36,39.6086,0.31211,11,0,132,1,0.9344600000000001,0,-396.006,43.9177,60470.6,1.10818,0.12255999999999999,0.14,3.1,2.20287e-06,24.7775,-9,-9,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
SN:,149289,12,111,-9.0,3,0.37499,0.001,0.37537,0.001,0.37537,0.0017,0,300,0.019426099999999998,-9,-9,-9,-9,59770.2,150.17600000000002,127.391,119.708,59771.2,0.14,0.94221,0.079144,-0.10247,0.019202200000000003,21.6051,0.0215602,4.09204e-05,8.125839999999999e-07,-0.000128062,-4.03194e-09,-1.2119400000000001e-08,36,8.97458,1.0,11,0,128,1,0.37537,0,-293.514,41.5214,59771.2,0.84805,-0.0904777,0.14,3.1,3.55744e-05,21.7572,-9,-9,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
SN:,326066,12,111,-9.0,3,0.17476,0.001,0.17456,0.001,0.17456,0.00154,0,300,0.022516099999999997,-9,-9,-9,-9,60596.0,178.97400000000002,173.892,153.812,60595.1,0.082,0.59004,0.06650729999999999,0.0907214,0.0187474,20.4373,0.0223262,0.000119974,2.46705e-06,-6.69247e-05,-6.0543000000000005e-09,-3.52834e-08,33,8.500860000000001,0.9999899999999999,11,0,68,1,0.17456,0,-80.838,39.6284,60595.1,0.58697,0.11185999999999999,0.14,3.1,0.000110356,20.528,-9,-9,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
SN:,330394,12,111,-9.0,3,1.03039,0.0393,1.02997,0.0393,1.02997,0.03935,0,300,0.019191099999999996,-9,-9,-9,-9,59914.1,13.5956,10.7454,4.58234,59916.1,0.02,-0.229608,0.47273999999999994,-0.13093,0.06779160000000001,24.6696,0.0597269,2.43313e-06,1.33847e-07,0.010498799999999999,-3.05125e-08,3.29439e-09,23,23.0497,0.45787,11,0,28,1,1.02997,0,-386.718,44.18,59916.7,-0.183267,-0.123346,0.14,3.1,2.9559399999999998e-06,24.4583,-9,-9,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
