VARNAMES:,CID,IDSURVEY,TYPE,FIELD,CUTFLAG_SNANA,zHEL,zHELERR,zCMB,zCMBERR,zHD,zHDERR,VPEC,VPECERR,MWEBV,HOST_LOGMASS,HOST_LOGMASS_ERR,HOST_sSFR,HOST_sSFR_ERR,PKMJDINI,SNRMAX1,SNRMAX2,SNRMAX3,PKMJD,PKMJDERR,x1,x1ERR,c,cERR,mB,mBERR,x0,x0ERR,COV_x1_c,COV_x1_x0,COV_c_x0,NDOF,FITCHI2,FITPROB,SIM_TYPE_INDEX,SIM_TEMPLATE_INDEX,SIM_LIBID,SIM_NGEN_LIBID,SIM_ZCMB,SIM_ZFLAG,SIM_VPEC,SIM_DLMAG,SIM_PKMJD,SIM_x1,SIM_c,SIM_alpha,SIM_beta,SIM_x0,SIM_mB,SIM_AV,SIM_RV,SIM_SHAPE,SIMNULL1,SIMSED_IBC_INDEX,SIMSED_Mejecta,SIMSED_Kinetic_energy,SIMSED_F_nickel
SN:,154096,12,111,-9.0,3,0.87369,0.0241,0.87397,0.0241,0.87397,0.02417,0,300,0.016039400000000002,-9,-9,-9,-9,60341.2,11.9331,10.5997,5.3686300000000005,60339.5,0.068,0.78582,0.7338899999999999,0.1526,0.05129109999999999,24.7159,0.0565707,2.3315900000000004e-06,1.21484e-07,0.00821562,-5.76173e-08,-3.68848e-10,48,62.5862,0.0768523,11,0,59,1,0.87397,0,571.226,43.7387,60341.8,-0.384463,0.11458,0.14,3.1,2.19233e-06,24.7827,-9.0,-9.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
SN:,167798,12,111,-9.0,3,0.92543,0.0482,0.92801,0.0482,0.92801,0.04824,0,300,0.020132,-9,-9,-9,-9,60045.0,14.5632,12.2813,6.669460000000001,60041.8,0.891,0.60955,0.6149399999999999,0.0662245,0.042536000000000004,24.6461,0.055162699999999995,2.48641e-06,1.26327e-07,0.000912064,-4.6794900000000004e-08,1.2029300000000001e-09,24,18.2559,0.79042,11,0,126,1,0.92801,0,-100.59700000000001,43.8969,60040.8,0.18337,0.0646028,0.14,3.1,2.3518599999999996e-06,24.7065,-9.0,-9.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
SN:,290248,12,111,-9.0,3,0.64086,0.0106,0.63932,0.0106,0.63932,0.01073,0,300,0.0205358,-9,-9,-9,-9,60624.2,41.1167,27.3239,17.482,60626.0,0.058,-0.211944,0.15533,0.0319764,0.0354475,23.5599,0.029892400000000003,6.761460000000001e-06,1.8615600000000002e-07,0.00026272599999999996,-9.62399e-09,-2.5685999999999996e-09,16,13.1696,0.66032,11,0,92,1,0.63932,0,259.283,42.9086,60625.4,-0.61563,0.0272692,0.14,3.1,5.86509e-06,23.7143,-9.0,-9.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
SN:,114369,12,111,-9.0,3,0.9528,0.0856,0.9523299999999999,0.0856,0.9523299999999999,0.08562,0,300,0.0098513,-9,-9,-9,-9,59916.1,24.2582,17.9503,16.5703,59918.9,0.394,-0.594954,0.24754,-0.0481584,0.031804200000000005,24.3103,0.0340607,3.3875e-06,1.06269e-07,0.00122387,-1.06297e-08,4.236069999999999e-10,40,31.6305,0.82494,11,0,78,1,0.9523299999999999,0,-93.5908,43.9697,59919.2,-0.446852,-0.0625092,0.14,3.1,2.91481e-06,24.4735,-9.0,-9.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
SN:,109847,12,111,-9.0,3,0.77473,0.0166,0.77307,0.0166,0.77307,0.0167,0,300,0.0089613,-9,-9,-9,-9,60153.3,26.9784,16.7492,15.6816,60143.5,1.031,-0.430666,0.4905,-0.0993378,0.0440255,23.9916,0.0771613,4.54327e-06,3.2288200000000005e-07,0.00994339,-1.38287e-07,-5.942649999999999e-09,40,26.8828,0.9440799999999999,11,0,3,1,0.77307,0,100.24,43.4132,60143.3,-0.266536,-0.0672377,0.14,3.1,5.04852e-06,23.8771,-9.0,-9.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
SN:,58531,12,111,-9.0,3,0.8738100000000001,0.0139,0.8733200000000001,0.0139,0.8733200000000001,0.01403,0,300,0.0104836,-9,-9,-9,-9,59770.4,20.3287,13.822,11.8285,59768.4,0.584,-0.402019,0.56767,0.14711,0.0446664,24.4487,0.046302499999999996,2.9820799999999997e-06,1.27174e-07,0.00139275,-2.82832e-08,5.01635e-10,44,47.696,0.32486,11,0,114,1,0.8733200000000001,0,-257.344,43.7376,59757.1,0.58811,-0.00358449,0.14,3.1,3.48602e-06,24.2792,-9.0,-9.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
SN:,60578,12,111,-9.0,3,1.3393899999999999,0.0464,1.33846,0.0464,1.33846,0.04646,0,300,0.00811079,-9,-9,-9,-9,60181.4,5.6363900000000005,5.1275,5.0869599999999995,60172.7,2.728,2.10871,1.6101,0.07080030000000001,0.09092760000000001,25.4058,0.21284,1.2350399999999999e-06,2.42114e-07,3.75265e-05,-2.57282e-07,1.3763e-08,41,45.2614,0.29864,11,0,77,1,1.33846,0,-222.979,44.8842,60173.0,0.9534299999999999,0.035733999999999995,0.14,3.1,1.13604e-06,25.4965,-9.0,-9.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
SN:,260038,12,111,-9.0,3,0.7791600000000001,0.0444,0.77609,0.0444,0.77609,0.04444,0,300,0.0187179,-9,-9,-9,-9,60165.3,27.1524,16.1592,15.7915,60167.2,1.589,-1.00216,0.7147,0.0654805,0.0388468,24.1148,0.0322567,4.05582e-06,1.20497e-07,-0.00770457,-1.5736600000000002e-08,-2.92154e-10,38,42.0958,0.29811,11,0,124,1,0.77609,0,480.795,43.4253,60162.3,0.55965,0.00337636,0.14,3.1,4.53965e-06,23.9924,-9.0,-9.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
SN:,260756,12,111,-9.0,3,0.61951,0.0206,0.61819,0.0206,0.61819,0.020669999999999997,0,300,0.023375299999999998,-9,-9,-9,-9,60226.4,37.7156,32.2961,20.9685,60219.1,0.255,-0.047957599999999996,0.2379,0.0122311,0.031117500000000003,23.3941,0.0286913,7.87712e-06,2.08158e-07,0.00060637,-2.0746000000000003e-08,-3.96346e-09,48,34.7805,0.92335,11,0,79,1,0.61819,0,1.0144600000000001,42.8195,60218.9,-0.157519,0.00890156,0.14,3.1,7.117560000000001e-06,23.5042,-9.0,-9.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
SN:,298116,12,111,-9.0,3,0.9034200000000001,0.0227,0.9031799999999999,0.0227,0.9031799999999999,0.02278,0,300,0.00862049,-9,-9,-9,-9,59857.2,12.3206,10.0892,9.43275,59857.5,0.599,-0.635465,0.44141,0.029166200000000003,0.041500999999999996,24.7857,0.0494428,2.18641e-06,9.956560000000001e-08,0.00501672,-2.51788e-08,5.64716e-11,72,52.3987,0.9602700000000001,11,0,18,1,0.9031799999999999,0,-155.346,43.8274,59855.8,-0.816695,0.0540775,0.14,3.1,2.2712e-06,24.7444,-9.0,-9.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
