VARNAMES:,CID,IDSURVEY,TYPE,FIELD,CUTFLAG_SNANA,zHEL,zHELERR,zCMB,zCMBERR,zHD,zHDERR,VPEC,VPECERR,MWEBV,HOST_LOGMASS,HOST_LOGMASS_ERR,HOST_sSFR,HOST_sSFR_ERR,PKMJDINI,SNRMAX1,SNRMAX2,SNRMAX3,PKMJD,PKMJDERR,x1,x1ERR,c,cERR,mB,mBERR,x0,x0ERR,COV_x1_c,COV_x1_x0,COV_c_x0,NDOF,FITCHI2,FITPROB,SIM_TYPE_INDEX,SIM_TEMPLATE_INDEX,SIM_LIBID,SIM_NGEN_LIBID,SIM_ZCMB,SIM_ZFLAG,SIM_VPEC,SIM_DLMAG,SIM_PKMJD,SIM_x1,SIM_c,SIM_alpha,SIM_beta,SIM_x0,SIM_mB,SIM_AV,SIM_RV,SIM_SHAPE,SIMNULL1,LCLIB_SEED,LCLIB_TAU,LCLIB_SFU,LCLIB_SFG,LCLIB_SFR,LCLIB_SFI,LCLIB_SFZ,LCLIB_SFY,LCLIB_REDSHIFT,LCLIB_EVENT_ID,SIMSED_Cart_INDEX,SIMSED_Mejecta,SIMSED_Vejecta,SIMSED_Fnick,SIMSED_Kappagamma,SIMSED_Temperature,SIMSED_TDE_INDEX,SIMSED_Rph0,SIMSED_Tvis,SIMSED_b,SIMSED_bhmass,SIMSED_eff,SIMSED_lphoto,SIMSED_starmass,SIMSED_stretch,SIMSED_color,SIMSED_SLSN_INDEX,SIMSED_bfield,SIMSED_mns,SIMSED_pspin,SIMSED_kappa,SIMSED_kappagamma,SIMSED_mej,SIMSED_temp,SIMSED_vej,SIMSED_IBC_INDEX,SIMSED_Kinetic_energy,SIMSED_F_nickel,SIMSED_Iax_INDEX,SIMSED_M_V,SIMSED_t_rise,SIMSED_dm15B,SIMSED_dm15R,SIMSED_pc1,SIMSED_pc2,SIMSED_pc3,SIMSED_II_INDEX,SIMSED_IIN_INDEX,SIMSED_Mcsm,SIMSED_R0,SIMSED_Rho
SN:,174732,12,111,-9.0,3,0.9673299999999999,0.0107,0.96565,0.0107,0.96565,0.010879999999999999,0,300,0.0102272,-9,-9,-9,-9,60508.3,13.2612,11.4784,6.1660699999999995,60505.9,0.821,0.5606800000000001,0.52841,-0.036118,0.043942800000000004,24.4546,0.0717602,2.96603e-06,1.96035e-07,0.00173862,-6.51516e-08,2.5134e-09,47,60.6446,0.0872812,11,0,13,1,0.96565,0,56.0425,44.0083,60505.8,0.6782199999999999,-0.0465485,0.14,3.1,3.1073000000000003e-06,24.404,-9.0,-9.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
SN:,146717,12,111,-9.0,3,0.8039,0.0236,0.80362,0.0236,0.80362,0.02367,0,300,0.021228,-9,-9,-9,-9,60624.2,17.356,15.8394,11.3704,60632.0,0.014,1.867,0.51378,0.0718925,0.0443244,24.2087,0.0590115,3.71981e-06,2.02177e-07,0.00175846,-7.018910000000001e-08,1.20039e-09,12,6.61313,0.8820899999999999,11,0,80,1,0.80362,0,-138.639,43.515,60630.1,0.42628999999999995,0.0210831,0.14,3.1,3.90611e-06,24.1556,-9.0,-9.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
SN:,179828,12,111,-9.0,3,0.58638,0.001,0.58401,0.001,0.58401,0.00187,0,300,0.020624299999999998,-9,-9,-9,-9,60211.0,52.3028,44.9723,31.2944,60212.1,0.178,0.74628,0.14440999999999998,-0.0330112,0.0279173,23.0551,0.026708,1.0764e-05,2.64783e-07,0.000439471,-1.40609e-08,-5.43038e-09,36,23.2835,0.94976,11,0,39,1,0.58401,0,506.463,42.6711,60212.1,0.71535,-0.0070361,0.14,3.1,9.557230000000001e-06,23.1842,-9.0,-9.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
SN:,270631,12,111,-9.0,3,0.49086,0.001,0.49255,0.001,0.49255,0.00179,0,300,0.0182855,-9,-9,-9,-9,59873.1,112.14,81.1676,77.6619,59876.0,0.093,0.30506,0.0742217,-0.137719,0.0185296,22.3534,0.020944900000000002,2.0541100000000002e-05,3.96257e-07,5.93508e-05,-5.59583e-09,-5.645439999999999e-09,71,73.445,0.39793,11,0,120,1,0.49255,0,-888.6569999999999,42.2197,59876.0,0.28381,-0.111228,0.14,3.1,1.8448399999999998e-05,22.4701,-9.0,-9.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
SN:,190530,12,111,-9.0,3,1.12639,0.2482,1.12706,0.2482,1.12706,0.24821,0,300,0.00967268,-9,-9,-9,-9,60581.2,9.35445,7.886360000000001,4.05928,60585.1,0.937,0.65647,0.55376,-0.000628432,0.0647336,24.845,0.07313380000000001,2.07013e-06,1.39441e-07,0.00788149,-3.6231e-08,4.00771e-09,53,48.5448,0.6481100000000001,11,0,102,1,1.12706,0,-464.29,44.4208,60583.7,0.73005,-0.0820563,0.14,3.1,2.36754e-06,24.6993,-9.0,-9.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
SN:,84481,12,111,-9.0,3,1.10814,0.2142,1.10609,0.2142,1.10609,0.21420999999999998,0,300,0.0179976,-9,-9,-9,-9,60224.1,14.4709,12.8565,6.09021,60218.1,0.744,0.83825,0.48063999999999996,-0.131469,0.0559155,24.5565,0.06107050000000001,2.70033e-06,1.5188800000000002e-07,0.00518419,-2.78309e-08,4.41342e-09,26,44.4121,0.013643700000000002,11,0,40,1,1.10609,0,341.49199999999996,44.3732,60217.8,0.66632,-0.10463,0.14,3.1,2.6169099999999997e-06,24.5905,-9.0,-9.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
SN:,123890,12,111,-9.0,3,1.14145,0.1239,1.13988,0.1239,1.13988,0.12392,0,300,0.00903317,-9,-9,-9,-9,60195.3,9.86633,7.43393,2.6276200000000003,60197.4,0.073,0.7568699999999999,0.78994,-0.0464497,0.0787094,24.9722,0.0954883,1.84132e-06,1.6193999999999998e-07,0.00523407,-5.27623e-08,7.66358e-09,38,29.0438,0.87766,11,0,27,1,1.13988,0,210.65200000000002,44.4535,60199.6,0.62287,0.00266717,0.14,3.1,1.77898e-06,25.0096,-9.0,-9.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
SN:,40552,12,111,-9.0,3,0.6682100000000001,0.0344,0.66735,0.0344,0.66735,0.03444,0,300,0.0210724,-9,-9,-9,-9,59857.1,52.2374,39.1908,25.8792,59859.0,0.194,0.20515999999999998,0.14356,-0.048064300000000004,0.027540600000000002,23.2877,0.024248099999999998,8.68832e-06,1.94039e-07,0.00026195200000000003,-8.33008e-09,-3.41414e-09,40,27.4946,0.9333600000000001,11,0,93,1,0.66735,0,46.0984,43.0213,59859.0,0.23135999999999998,-0.051743899999999995,0.14,3.1,7.38932e-06,23.4635,-9.0,-9.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
SN:,94281,12,111,-9.0,3,1.16106,0.0293,1.16262,0.0293,1.16262,0.02939,0,300,0.0199624,-9,-9,-9,-9,59854.1,11.5293,10.6994,3.9861,59865.0,0.874,0.63073,0.55274,-0.123723,0.0566481,24.8324,0.07010880000000001,2.09424e-06,1.35231e-07,0.00491851,-2.18759e-08,4.778600000000001e-09,29,24.0026,0.7288,11,0,54,1,1.16262,0,-724.0830000000001,44.5034,59863.6,0.28565,-0.12408800000000002,0.14,3.1,2.3361e-06,24.7138,-9.0,-9.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
SN:,333629,12,111,-9.0,3,0.86515,0.0431,0.8652700000000001,0.0431,0.8652700000000001,0.04314,0,300,0.00967268,-9,-9,-9,-9,60300.1,18.149,12.9268,8.66301,60303.4,1.635,-1.48417,0.78837,0.11754,0.047537800000000005,24.4867,0.052965,2.8794999999999997e-06,1.4047e-07,0.0134922,4.13945e-08,2.15146e-09,20,20.5719,0.42271000000000003,11,0,102,1,0.8652700000000001,0,-268.498,43.7121,60309.2,1.00206,0.0990614,0.14,3.1,2.8082e-06,24.5139,-9.0,-9.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
