VARNAMES:,CID,IDSURVEY,TYPE,FIELD,CUTFLAG_SNANA,zHEL,zHELERR,zCMB,zCMBERR,zHD,zHDERR,VPEC,VPECERR,MWEBV,HOST_LOGMASS,HOST_LOGMASS_ERR,HOST_sSFR,HOST_sSFR_ERR,PKMJDINI,SNRMAX1,SNRMAX2,SNRMAX3,PKMJD,PKMJDERR,x1,x1ERR,c,cERR,mB,mBERR,x0,x0ERR,COV_x1_c,COV_x1_x0,COV_c_x0,NDOF,FITCHI2,FITPROB,SIM_TYPE_INDEX,SIM_TEMPLATE_INDEX,SIM_LIBID,SIM_NGEN_LIBID,SIM_ZCMB,SIM_ZFLAG,SIM_VPEC,SIM_DLMAG,SIM_PKMJD,SIM_SHAPE,SIM_AV,SIMNULL1,SIM_RV,SIM_x0,SIM_mB,SIMSED_TDE_INDEX,SIMSED_Rph0,SIMSED_Tvis,SIMSED_b,SIMSED_bhmass,SIMSED_eff,SIMSED_lphoto,SIMSED_starmass,SIMSED_pc1,SIMSED_pc2,SIMSED_pc3,SIMSED_II_INDEX,SIMSED_IIN_INDEX,SIMSED_Mejecta,SIMSED_Kinetic_energy,SIMSED_Mcsm,SIMSED_R0,SIMSED_Rho,SIMSED_Iax_INDEX,SIMSED_M_V,SIMSED_t_rise,SIMSED_dm15B,SIMSED_dm15R,SIMSED_IBC_INDEX,SIMSED_F_nickel,SIMSED_stretch,SIMSED_color,LCLIB_SEED,LCLIB_TAU,LCLIB_SFU,LCLIB_SFG,LCLIB_SFR,LCLIB_SFI,LCLIB_SFZ,LCLIB_SFY,LCLIB_REDSHIFT,LCLIB_EVENT_ID,SIM_x1,SIM_c,SIM_alpha,SIM_beta,SIMSED_SLSN_INDEX,SIMSED_bfield,SIMSED_mns,SIMSED_pspin,SIMSED_kappa,SIMSED_kappagamma,SIMSED_mej,SIMSED_temp,SIMSED_vej,SIMSED_Cart_INDEX,SIMSED_Vejecta,SIMSED_Fnick,SIMSED_Kappagamma,SIMSED_Temperature
SN:,71239,12,112,-9.0,3,0.74195,0.0212,0.73998,0.0212,0.73998,0.021269999999999997,0,300,0.00848908,-9,-9,-9,-9,60278.1,8.23922,5.39531,5.09401,60271.5,3.259,1.3624399999999999,1.4767,-0.256103,0.0667347,25.6992,0.11127999999999999,9.42556e-07,9.66088e-08,0.017130000000000003,-4.80895e-08,3.4444300000000003e-10,28,44.5352,0.024574400000000003,12,93,103,2,0.73998,0,381.471,43.297,60259.1,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.13402999999999998,0.0331702,0.0527928,117.596,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
SN:,292482,12,102,-9.0,3,0.35716,0.001,0.35538000000000003,0.001,0.35538000000000003,0.00169,0,300,0.0112422,-9,-9,-9,-9,59884.0,7.1146,5.20653,4.95352,59886.1,1.915,1.2707600000000001,1.9970599999999998,0.0338536,0.1037,25.8173,0.17156,8.454640000000001e-07,1.33596e-07,0.1194,-2.4218399999999997e-07,-8.70331e-09,23,25.7145,0.31453000000000003,2,204,66,4,0.35538000000000003,0,232.27,41.3855,59875.4,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
SN:,58971,12,102,-9.0,3,0.9976299999999999,0.241,0.99561,0.241,0.99561,0.24101,0,300,0.0223315,-9,-9,-9,-9,59857.2,11.295,11.0666,7.14018,59869.5,1.259,1.57981,0.96536,-0.22875700000000002,0.0426072,25.2106,0.078074,1.47834e-06,1.06306e-07,0.0199055,-6.433640000000001e-08,4.2680199999999993e-10,60,63.9157,0.3407,2,210,8,4,0.99561,0,123.421,44.0906,59859.3,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
SN:,179758,12,102,-9.0,3,0.49171000000000004,0.001,0.49023,0.001,0.49023,0.0018,0,300,0.0187179,-9,-9,-9,-9,60636.1,6.61235,5.74443,5.65294,60635.0,1.617,1.96325,1.37447,-0.0858862,0.0580751,25.6964,0.090251,9.45019e-07,7.8554e-08,0.0183952,-7.30358e-08,-5.37911e-11,26,39.233,0.0463116,2,223,124,4,0.49023,0,72.0632,42.212,60630.7,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
SN:,26736,12,102,-9.0,3,0.33510999999999996,0.001,0.33569,0.001,0.33569,0.00167,0,300,0.0156118,-9,-9,-9,-9,59857.0,9.04824,8.53627,5.21791,59861.2,1.125,0.49578,1.3013,-0.113851,0.062472900000000005,25.2423,0.0900642,1.43578e-06,1.19101e-07,0.0481163,-1.2675000000000002e-07,-4.5968199999999994e-09,32,46.2141,0.049799199999999995,2,214,85,1,0.33569,0,-351.402,41.2373,59857.9,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
SN:,7657,12,102,-9.0,3,1.06053,0.0316,1.05984,0.0316,1.05984,0.03167,0,300,0.019931099999999997,-9,-9,-9,-9,59835.1,11.8721,11.5754,4.90263,59839.4,0.884,2.44049,0.56823,-0.114753,0.061699699999999996,24.739,0.0644472,2.2824e-06,1.35479e-07,0.00405024,-3.8752400000000004e-08,3.57506e-09,35,41.2158,0.2172,2,201,131,1,1.05984,0,-57.4948,44.257,59830.2,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
SN:,115026,12,102,-9.0,3,0.71033,0.0124,0.70762,0.0124,0.70762,0.01252,0,300,0.0125155,-9,-9,-9,-9,59779.4,8.226389999999999,5.67243,4.96272,59789.1,0.157,1.58904,0.78741,-0.05670409999999999,0.0618794,25.2438,0.08715089999999999,1.43374e-06,1.15085e-07,0.012107099999999999,-6.92267e-08,-6.40767e-10,52,72.8872,0.029521699999999998,2,201,41,2,0.70762,0,438.284,43.1791,59782.5,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
SN:,166019,12,102,-9.0,3,1.1041,0.1707,1.1019700000000001,0.1707,1.1019700000000001,0.17071,0,300,0.0236829,-9,-9,-9,-9,60606.1,11.4344,8.94517,3.45815,60610.3,1.697,2.14859,1.33975,-0.259999,0.0286155,25.3006,0.0785834,1.3606899999999999e-06,9.84843e-08,0.00591924,-8.09239e-08,6.927369999999999e-10,20,12.9017,0.88156,2,201,1,1,1.1019700000000001,0,381.66,44.3632,60604.8,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
SN:,25810,12,102,-9.0,3,1.25146,0.1229,1.2498,0.1229,1.2498,0.12293,0,300,0.0182855,-9,-9,-9,-9,60640.1,9.77725,7.74828,2.8173,60641.8,2.278,-0.29543,1.53516,-0.26315500000000003,0.0640497,25.299,0.13733,1.3626499999999998e-06,1.7235499999999998e-07,0.019034,-1.3446e-07,6.585999999999999e-09,17,18.0939,0.38294,2,216,120,3,1.2498,0,-73.2832,44.7009,60640.6,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
SN:,8441,12,114,-9.0,3,0.60868,0.0423,0.60806,0.0423,0.60806,0.04233,0,300,0.0180209,-9,-9,-9,-9,59896.2,17.8821,14.4885,11.9722,59896.2,0.507,-0.663525,0.4291,0.2225,0.0451096,24.5884,0.0422929,2.6220599999999996e-06,1.0213800000000001e-07,0.0009329239999999999,-2.2117400000000004e-08,-2.06224e-09,40,49.1563,0.152,14,122,4,2,0.60806,0,-229.952,42.775,59893.5,-9.0,0.24338,-9.0,3.1,-9.0,-9.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-9.0,-9.0,-9.0,-9.0,122.0,-9.0,-9.0,-9.0,-9.0,-9.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
