VARNAMES:,CID,IDSURVEY,TYPE,FIELD,CUTFLAG_SNANA,zHEL,zHELERR,zCMB,zCMBERR,zHD,zHDERR,VPEC,VPECERR,MWEBV,HOST_LOGMASS,HOST_LOGMASS_ERR,HOST_sSFR,HOST_sSFR_ERR,PKMJDINI,SNRMAX1,SNRMAX2,SNRMAX3,PKMJD,PKMJDERR,x1,x1ERR,c,cERR,mB,mBERR,x0,x0ERR,COV_x1_c,COV_x1_x0,COV_c_x0,NDOF,FITCHI2,FITPROB,SIM_TYPE_INDEX,SIM_TEMPLATE_INDEX,SIM_LIBID,SIM_NGEN_LIBID,SIM_ZCMB,SIM_ZFLAG,SIM_VPEC,SIM_DLMAG,SIM_PKMJD,SIM_SHAPE,SIM_AV,SIMNULL1,SIM_RV,SIM_x0,SIM_mB,SIMSED_pc1,SIMSED_pc2,SIMSED_pc3,SIMSED_II_INDEX,SIMSED_IIN_INDEX,SIMSED_Mejecta,SIMSED_Kinetic_energy,SIMSED_Mcsm,SIMSED_R0,SIMSED_Rho,SIMSED_Iax_INDEX,SIMSED_M_V,SIMSED_t_rise,SIMSED_dm15B,SIMSED_dm15R,SIMSED_IBC_INDEX,SIMSED_F_nickel,SIMSED_stretch,SIMSED_color,LCLIB_SEED,LCLIB_TAU,LCLIB_SFU,LCLIB_SFG,LCLIB_SFR,LCLIB_SFI,LCLIB_SFZ,LCLIB_SFY,LCLIB_REDSHIFT,LCLIB_EVENT_ID,SIM_x1,SIM_c,SIM_alpha,SIM_beta,SIMSED_SLSN_INDEX,SIMSED_bfield,SIMSED_mns,SIMSED_pspin,SIMSED_kappa,SIMSED_kappagamma,SIMSED_mej,SIMSED_temp,SIMSED_vej,SIMSED_Cart_INDEX,SIMSED_Vejecta,SIMSED_Fnick,SIMSED_Kappagamma,SIMSED_Temperature
SN:,248699,12,102,-9.0,3,1.1251799999999998,0.1067,1.12378,0.1067,1.12378,0.10672000000000001,0,300,0.00655708,-9,-9,-9,-9,59913.3,7.75175,7.125939999999999,3.68925,59905.5,1.165,2.3485400000000003,0.85808,-0.182591,0.0725325,25.5206,0.1098,1.11107e-06,1.1235799999999999e-07,0.00320185,-6.10652e-08,4.32738e-09,35,35.3126,0.45343999999999995,2,213,56,1,1.12378,0,178.012,44.4151,59893.4,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
SN:,229118,12,102,-9.0,3,0.71923,0.0098,0.7187399999999999,0.0098,0.7187399999999999,0.00995,0,300,0.00885576,-9,-9,-9,-9,60580.1,7.550039999999999,5.76434,4.7015400000000005,60588.2,0.847,-1.0806,0.7236600000000001,-0.216194,0.0672403,25.5232,0.09171030000000001,1.1084200000000002e-06,9.362619999999999e-08,0.015134799999999999,-4.250290000000001e-08,6.26443e-10,40,59.2491,0.0254706,2,215,118,1,0.7187399999999999,0,-242.91400000000002,43.2177,60580.6,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
SN:,37902,12,102,-9.0,3,0.83659,0.0504,0.8377899999999999,0.0504,0.8377899999999999,0.05044,0,300,0.018938,-9,-9,-9,-9,59679.0,9.2735,5.63382,5.47446,59688.5,1.76,0.10214,2.74972,-0.298619,0.0808919,25.3944,0.10343,1.24807e-06,1.18898e-07,0.17517,-1.85795e-07,-6.57436e-10,12,12.8778,0.37798000000000004,2,220,94,4,0.8377899999999999,0,285.932,43.6245,59678.4,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
SN:,185135,12,102,-9.0,3,1.37878,0.1102,1.3769200000000001,0.1102,1.3769200000000001,0.11023,0,300,0.00643025,-9,-9,-9,-9,59782.3,7.68042,6.3570199999999994,4.40295,59796.7,1.185,-0.00153646,0.64873,-0.226149,0.05737330000000001,25.1272,0.13004000000000002,1.59627e-06,1.9118099999999997e-07,0.010283,-4.60392e-08,6.9161499999999995e-09,59,54.1635,0.6540100000000001,2,201,130,3,1.3769200000000001,0,38.647,44.9611,59791.2,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
SN:,164557,12,102,-9.0,3,0.20715999999999998,0.001,0.20798000000000003,0.001,0.20798000000000003,0.00157,0,300,0.016872,-9,-9,-9,-9,60624.2,9.80545,9.49001,6.84421,60615.8,0.697,-2.9321599999999997,0.8961899999999999,-0.0941955,0.0746271,24.896,0.0796597,1.9751699999999998e-06,1.44917e-07,0.018322900000000003,-6.95552e-08,-5.361080000000001e-09,11,24.2675,0.0116513,2,215,108,3,0.20798000000000003,0,-408.473,40.0498,60610.9,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
SN:,81476,12,112,-9.0,3,0.39921999999999996,0.0276,0.39721999999999996,0.0276,0.39721999999999996,0.027639999999999998,0,300,0.0210724,-9,-9,-9,-9,60493.3,12.8499,11.7444,8.54844,60457.1,2.652,1.67035,1.60709,-0.28779899999999997,0.08185060000000001,22.9966,0.25266,1.13597e-05,2.64351e-06,0.050314099999999994,-3.6756300000000004e-06,-1.55187e-07,11,20.3173,0.041175,12,14,93,4,0.39721999999999996,0,423.945,41.6697,60465.8,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,0.0860298,0.018696099999999997,0.060622800000000004,76.0783,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
SN:,308480,12,102,-9.0,3,0.88313,0.1893,0.8831100000000001,0.1893,0.8831100000000001,0.18930999999999998,0,300,0.00734744,-9,-9,-9,-9,60632.1,11.6567,8.255980000000001,5.70827,60639.1,0.654,-0.0894344,0.47978000000000004,-0.157387,0.04105,25.1501,0.0616755,1.5629599999999999e-06,8.87843e-08,0.00371059,-2.3069199999999997e-08,9.55762e-10,44,57.7348,0.08014249999999999,2,201,34,2,0.8831100000000001,0,-213.955,43.7669,60634.9,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
SN:,341290,12,102,-9.0,3,0.44021000000000005,0.001,0.43826000000000004,0.001,0.43826000000000004,0.00175,0,300,0.019931099999999997,-9,-9,-9,-9,59797.3,8.32103,7.1368100000000005,3.8242300000000005,59799.2,1.773,-0.580362,1.2126,-0.268366,0.0649531,25.4479,0.11763,1.18805e-06,1.28713e-07,0.0424905,-1.1402e-07,-2.4687899999999997e-09,61,83.8136,0.0279737,2,221,131,3,0.43826000000000004,0,397.89099999999996,41.9224,59792.2,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
SN:,38276,12,112,-9.0,3,0.65368,0.0395,0.65179,0.0395,0.65179,0.03953,0,300,0.0183372,-9,-9,-9,-9,60493.2,17.4633,6.5589,6.17753,60505.8,0.763,1.1469799999999999,0.8185,-0.225964,0.0581445,24.6481,0.0987717,2.48173e-06,2.25768e-07,0.0127608,-1.49979e-07,-1.53408e-09,32,53.3261,0.010386399999999999,12,93,132,1,0.65179,0,375.57,42.9601,60494.1,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,0.18622,0.0314154,0.058582,150.174,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
SN:,76175,12,102,-9.0,3,0.8950299999999999,0.3172,0.8937,0.3172,0.8937,0.31721,0,300,0.00655708,-9,-9,-9,-9,59896.1,10.434,5.18985,4.71039,59904.7,1.169,1.13862,0.8518700000000001,-0.21214899999999998,0.05155409999999999,25.8221,0.10684,8.417159999999999e-07,8.28295e-08,0.0139606,-4.51208e-08,9.289349999999999e-10,48,72.7978,0.0119743,2,221,56,4,0.8937,0,184.63099999999997,43.8004,59894.4,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
