"","FileA","FileB","WassersteinDistanceMean","WassersteinDistanceStDev","WassersteinDistanceMedian","WassersteinDistanceMode","ShapiroWilkStatistic","ShapiroWilkPvalue","NPointsPerDrawn","NDrawns"
"W","chains_72SNIa28SNII_lowz_withbias.csv.gz","chains_72SNIa28SNII_lowz_withbias.csv.gz",0.000660716701657161,0.000207643717291454,0.00060426392203458,0.00056854312336783,0.927382757192097,3.54637586978496e-05,1000,100
"W1","chains_72SNIa28SNII_lowz_withbias.csv.gz","chains_75SNIa25SNII_lowz_withbias.csv.gz",0.022433960743137,0.000487704984596608,0.0223909567894265,0.0224869771149483,0.988863953749965,0.573906681215296,1000,100
"W2","chains_72SNIa28SNII_lowz_withbias.csv.gz","chains_86SNIa14SNIax_lowz_withbias.csv.gz",0.109354569705006,0.000493241801595813,0.109407409168732,0.109309703061553,0.978553769576309,0.102487023584022,1000,100
"W3","chains_72SNIa28SNII_lowz_withbias.csv.gz","chains_90SNIa10SNIax_lowz_withbias.csv.gz",0.130860130005126,0.000400790749082836,0.130845050856766,0.130735046357701,0.992207184738586,0.83602589245929,1000,100
"W4","chains_72SNIa28SNII_lowz_withbias.csv.gz","chains_90SNIa10SNII_lowz_withbias.csv.gz",0.110507483531914,0.000458535965998437,0.110519192280195,0.110465683076982,0.992530779809512,0.858216261133773,1000,100
"W5","chains_72SNIa28SNII_lowz_withbias.csv.gz","chains_91SNIa9SNIax_lowz_withbias.csv.gz",0.13974893316433,0.000489514926525601,0.139773876282633,0.139629985393811,0.990636196597396,0.715950121324606,1000,100
"W6","chains_72SNIa28SNII_lowz_withbias.csv.gz","chains_92SNIa8SNIbc_lowz_withbias.csv.gz",0.137598946956371,0.000514837624498278,0.137702254232025,0.137680450270651,0.969888360811665,0.0216740490515046,1000,100
"W7","chains_72SNIa28SNII_lowz_withbias.csv.gz","chains_95SNIa5SNIax_lowz_withbias.csv.gz",0.159600057303521,0.000494693354703728,0.159588043507863,0.1596881020045,0.98453916924994,0.294057795110404,1000,100
"W8","chains_72SNIa28SNII_lowz_withbias.csv.gz","chains_95SNIa5SNIbc_lowz_withbias.csv.gz",0.14029703293951,0.0004729384931199,0.140302574114039,0.140336287183579,0.989571017756678,0.629999201482206,1000,100
"W9","chains_72SNIa28SNII_lowz_withbias.csv.gz","chains_95SNIa5SNII_lowz_withbias.csv.gz",0.154222282652777,0.000543194436539954,0.154286323542574,0.154219939187955,0.988683095541177,0.559850611319335,1000,100
"W10","chains_72SNIa28SNII_lowz_withbias.csv.gz","chains_98SNIa2SNIax_lowz_withbias.csv.gz",0.175779071020446,0.000550761911069873,0.175848447986192,0.175692274237988,0.98832150787059,0.532207365516931,1000,100
"W11","chains_72SNIa28SNII_lowz_withbias.csv.gz","chains_98SNIa2SNIbc_lowz_withbias.csv.gz",0.178495904533622,0.000520108198289084,0.178435666577323,0.178210995117439,0.966241565027621,0.0114847547192963,1000,100
"W12","chains_72SNIa28SNII_lowz_withbias.csv.gz","chains_98SNIa2SNII_lowz_withbias.csv.gz",0.177483435810038,0.000583530274419439,0.17745575950866,0.177418809436915,0.980967626982141,0.158022920422354,1000,100
"W13","chains_72SNIa28SNII_lowz_withbias.csv.gz","chains_99.1SNIa0.9CART_lowz_withbias.csv.gz",0.17017868000426,0.000472854347844333,0.170199555169458,0.170231831897688,0.994848950140048,0.971063906954157,1000,100
"W14","chains_72SNIa28SNII_lowz_withbias.csv.gz","chains_99.8SNIa0.2SNIa-91bg_lowz_withbias.csv.gz",0.2018992914564,0.000648970972946185,0.201827637422145,0.201905354424746,0.988007507927074,0.508760907352512,1000,100
"W15","chains_72SNIa28SNII_lowz_withbias.csv.gz","chains_99.9SNIa0.1AGN_lowz_withbias.csv.gz",0.187242345444419,0.000633787386476805,0.187233718273087,0.187475716763349,0.992726106371445,0.870998567038736,1000,100
"W16","chains_72SNIa28SNII_lowz_withbias.csv.gz","chains_99.9SNIa0.1SLSN_lowz_withbias.csv.gz",0.185404495964902,0.000566302919902053,0.185370924990793,0.185275932295727,0.984139987563357,0.274880657867404,1000,100
"W17","chains_72SNIa28SNII_lowz_withbias.csv.gz","chains_99SNIa1SNIax_lowz_withbias.csv.gz",0.183599999564588,0.000524689197011012,0.183648738768691,0.183771324933928,0.985318572189953,0.334755159198948,1000,100
"W18","chains_72SNIa28SNII_lowz_withbias.csv.gz","chains_99SNIa1SNIbc_lowz_withbias.csv.gz",0.190170867652614,0.000622183950724702,0.190052972594331,0.18988138052742,0.977955794430902,0.0920041383028204,1000,100
"W19","chains_72SNIa28SNII_lowz_withbias.csv.gz","chains_99SNIa1SNII_lowz_withbias.csv.gz",0.188407443693564,0.000588058128039905,0.188299281089776,0.188395578807865,0.979539965902651,0.122399308581976,1000,100
"W20","chains_72SNIa28SNII_lowz_withbias.csv.gz","chains_all_DDF_lowz_withbias.csv.gz",0.0634494630434561,0.000450376743148385,0.0633857720578444,0.0633346212762756,0.971774338159995,0.0302689502418251,1000,100
"W21","chains_72SNIa28SNII_lowz_withbias.csv.gz","chains_fiducial1500_lowz_withbias.csv.gz",0.0144420039184188,0.000513717328480894,0.0144603143736995,0.0145636041400451,0.982415455173783,0.204091081837247,1000,100
"W22","chains_72SNIa28SNII_lowz_withbias.csv.gz","chains_fiducial3000_lowz_withbias.csv.gz",0.0456597347082018,0.000444724997893497,0.0457131201307041,0.0455809076229063,0.990519013356551,0.706525559003256,1000,100
"W23","chains_72SNIa28SNII_lowz_withbias.csv.gz","chains_fiducial6000_lowz_withbias.csv.gz",0.0722503500906197,0.000364729096646148,0.072266381944047,0.0722093733360037,0.994448912719025,0.958251419356917,1000,100
"W24","chains_72SNIa28SNII_lowz_withbias.csv.gz","chains_perfect1500_lowz_withbias.csv.gz",0.201269138533848,0.000701548235197703,0.201277052289313,0.201368209974895,0.986414971729413,0.399500086116017,1000,100
"W25","chains_72SNIa28SNII_lowz_withbias.csv.gz","chains_perfect3000_lowz_withbias.csv.gz",0.196837768682706,0.000572261536629103,0.19682958017827,0.196878691389216,0.991816692327834,0.807792239886632,1000,100
