"","FileA","FileB","WassersteinDistanceMean","WassersteinDistanceStDev","WassersteinDistanceMedian","WassersteinDistanceMode","ShapiroWilkStatistic","ShapiroWilkPvalue","NPointsPerDrawn","NDrawns"
"W","chains_72SNIa28SNII_lowz_withbias.csv.gz","chains_72SNIa28SNII_lowz_withbias.csv.gz",0.00107708607468398,0.00032299809425884,0.000987360312412366,0.000844108906030066,0.913348407131515,6.35254244157963e-06,1000,100
"W1","chains_72SNIa28SNII_lowz_withbias.csv.gz","chains_75SNIa25SNIax_lowz_withbias.csv.gz",0.0394192354743006,0.000678087896632766,0.0394285215206465,0.0392506406417136,0.989970208338413,0.66218426782157,1000,100
"W2","chains_72SNIa28SNII_lowz_withbias.csv.gz","chains_75SNIa25SNII_lowz_withbias.csv.gz",0.00254926449374652,0.000604215119372568,0.00251137359933129,0.00264661677639098,0.99144345928367,0.779602356476706,1000,100
"W3","chains_72SNIa28SNII_lowz_withbias.csv.gz","chains_90SNIa10SNIax_lowz_withbias.csv.gz",0.0843991338187389,0.000747195060478384,0.0843872427241439,0.0840809349442169,0.986474274001442,0.403252878808187,1000,100
"W4","chains_72SNIa28SNII_lowz_withbias.csv.gz","chains_90SNIa10SNIbc_lowz_withbias.csv.gz",0.0826420967806001,0.000721586975023816,0.0826357119070375,0.0827995761969277,0.994867414938357,0.971585989932492,1000,100
"W5","chains_72SNIa28SNII_lowz_withbias.csv.gz","chains_90SNIa10SNII_lowz_withbias.csv.gz",0.0703631435617188,0.000712529487108919,0.0703583501808043,0.0704435350890023,0.982818284953099,0.21896694619028,1000,100
"W6","chains_72SNIa28SNII_lowz_withbias.csv.gz","chains_95SNIa5AGN_lowz_withbias.csv.gz",0.0804102491021451,0.000628173780843842,0.0804035988578328,0.0804241241240306,0.987879750281393,0.499383424714158,1000,100
"W7","chains_72SNIa28SNII_lowz_withbias.csv.gz","chains_95SNIa5SNIa-91bg_lowz_withbias.csv.gz",0.117443189552607,0.000776592458016889,0.117449994351772,0.117618022184174,0.994190617065368,0.948433688345758,1000,100
"W8","chains_72SNIa28SNII_lowz_withbias.csv.gz","chains_95SNIa5SNIax_lowz_withbias.csv.gz",0.0952075632177964,0.00073969792958887,0.0953133934050683,0.0952274177085974,0.985149349705972,0.325546771280286,1000,100
"W9","chains_72SNIa28SNII_lowz_withbias.csv.gz","chains_95SNIa5SNIbc_lowz_withbias.csv.gz",0.104365860550681,0.000723848783179138,0.104426792682271,0.104607152433544,0.980961412400753,0.157848197562811,1000,100
"W10","chains_72SNIa28SNII_lowz_withbias.csv.gz","chains_95SNIa5SNII_lowz_withbias.csv.gz",0.0801475631988691,0.000691874045206855,0.0801417083559093,0.0800319862286213,0.987326009347778,0.459914220552808,1000,100
"W11","chains_72SNIa28SNII_lowz_withbias.csv.gz","chains_98SNIa2AGN_lowz_withbias.csv.gz",0.0965184391584091,0.000683021420759361,0.096553651427788,0.0964594243541656,0.991388545305915,0.775373031585732,1000,100
"W12","chains_72SNIa28SNII_lowz_withbias.csv.gz","chains_98SNIa2SNIa-91bg_lowz_withbias.csv.gz",0.103568401184496,0.000808194723394222,0.103461694311001,0.103219615064675,0.989781462139653,0.64694037634332,1000,100
"W13","chains_72SNIa28SNII_lowz_withbias.csv.gz","chains_98SNIa2SNIax_lowz_withbias.csv.gz",0.0976164654046102,0.000655680737078315,0.097667940637047,0.0975442578204418,0.985636098048915,0.352598159637794,1000,100
"W14","chains_72SNIa28SNII_lowz_withbias.csv.gz","chains_98SNIa2SNIbc_lowz_withbias.csv.gz",0.100543918189673,0.000704054674261517,0.100537568833726,0.100456626215032,0.986281375175308,0.391139470031946,1000,100
"W15","chains_72SNIa28SNII_lowz_withbias.csv.gz","chains_98SNIa2SNII_lowz_withbias.csv.gz",0.0972887152570919,0.000751769718721072,0.097223569696956,0.0971769657346505,0.989037894181412,0.587552155743628,1000,100
"W16","chains_72SNIa28SNII_lowz_withbias.csv.gz","chains_99.6SNIa0.4TDE_lowz_withbias.csv.gz",0.098615448693181,0.00070352930707147,0.0985643369213932,0.0983552754248292,0.963571090658862,0.00728627282246859,1000,100
"W17","chains_72SNIa28SNII_lowz_withbias.csv.gz","chains_99.7SNIa0.3CART_lowz_withbias.csv.gz",0.112311819689682,0.000701084394021367,0.112346848501317,0.112340853501104,0.969985269250895,0.0220473529933825,1000,100
"W18","chains_72SNIa28SNII_lowz_withbias.csv.gz","chains_99SNIa1AGN_lowz_withbias.csv.gz",0.118905926747748,0.000751307387077305,0.118860250539722,0.118617906302994,0.984441505266442,0.289263402059129,1000,100
"W19","chains_72SNIa28SNII_lowz_withbias.csv.gz","chains_99SNIa1SLSN_lowz_withbias.csv.gz",0.0753609028502676,0.000625753174213989,0.0754027954587001,0.0753574526873855,0.987277194235078,0.456530776477865,1000,100
"W20","chains_72SNIa28SNII_lowz_withbias.csv.gz","chains_99SNIa1SNIa-91bg_lowz_withbias.csv.gz",0.126037192151997,0.000742024047382597,0.125971571125192,0.125800149929456,0.991285070655287,0.767354562074813,1000,100
"W21","chains_72SNIa28SNII_lowz_withbias.csv.gz","chains_99SNIa1SNIax_lowz_withbias.csv.gz",0.113731938840958,0.000771767470584558,0.113764533639151,0.113518402944409,0.988190210755438,0.52233649603137,1000,100
"W22","chains_72SNIa28SNII_lowz_withbias.csv.gz","chains_99SNIa1SNIbc_lowz_withbias.csv.gz",0.103302821696501,0.000764816265202356,0.103208990629832,0.103175347333513,0.986086645865321,0.379186604155014,1000,100
"W23","chains_72SNIa28SNII_lowz_withbias.csv.gz","chains_99SNIa1SNII_lowz_withbias.csv.gz",0.109142849209019,0.000778158296158511,0.109134503270736,0.109225622404219,0.984525496317804,0.293382549224038,1000,100
"W24","chains_72SNIa28SNII_lowz_withbias.csv.gz","chains_fiducial3000_lowz_withbias.csv.gz",0.11161707566565,0.000710721906303376,0.11158016291518,0.11181529229948,0.99513404327009,0.978462021954139,1000,100
"W25","chains_72SNIa28SNII_lowz_withbias.csv.gz","chains_perfect3000_lowz_withbias.csv.gz",0.112331125643209,0.000746381635426602,0.11228216216908,0.112367830930394,0.980118845900144,0.135795456819827,1000,100
"W26","chains_72SNIa28SNII_lowz_withbias.csv.gz","chains_perfect6000_lowz_withbias.csv.gz",0.0975757791461801,0.000676199962644698,0.0975938650660786,0.0975590215921016,0.991918569371676,0.815295265089443,1000,100
"W27","chains_72SNIa28SNII_lowz_withbias.csv.gz","chains_random3000_lowz_withbias.csv.gz",0.0657278837370475,0.000727444641629314,0.0657121825645533,0.0654231605814017,0.992955942553268,0.88538606474727,1000,100
"W28","chains_75SNIa25SNIax_lowz_withbias.csv.gz","chains_75SNIa25SNIax_lowz_withbias.csv.gz",0.00106741546869002,0.000268520930919123,0.000983178699425623,0.00094326271348676,0.86650568755492,5.08043234905514e-08,1000,100
"W29","chains_75SNIa25SNIax_lowz_withbias.csv.gz","chains_75SNIa25SNII_lowz_withbias.csv.gz",0.0420268852008394,0.000709241654611847,0.0420688462921611,0.0421541075861854,0.981047249102551,0.160277835950534,1000,100
"W30","chains_75SNIa25SNIax_lowz_withbias.csv.gz","chains_90SNIa10SNIax_lowz_withbias.csv.gz",0.0449237451231749,0.00070006678137058,0.0449677041870718,0.0448920370127921,0.98932106893667,0.609996983777451,1000,100
"W31","chains_75SNIa25SNIax_lowz_withbias.csv.gz","chains_90SNIa10SNIbc_lowz_withbias.csv.gz",0.0431827566782684,0.00066626705360194,0.0431858659781085,0.0432861195767432,0.990535258094047,0.707833652065644,1000,100
