"case","Bayes.mean","Bayes.e_low","Bayes.e_up","Bayes.sd"
"72SNIa28SNII","-1.138191171","-1.146743741","-1.128897495"," 0.009226385"
"75SNIa25SNIax","-1.109886362","-1.118590115","-1.101590597"," 0.008441080"
"75SNIa25SNII","-1.128445018","-1.136682118","-1.118989817"," 0.008877434"
"90SNIa10SNIax","-1.071772003","-1.080819422","-1.062562027"," 0.009204261"
"90SNIa10SNIbc","-1.059341047","-1.069015855","-1.051299389"," 0.008984475"
"90SNIa10SNII","-1.078146171","-1.087220556","-1.068431319"," 0.009241831"
"95SNIa5AGN","-1.059870691","-1.068957549","-1.050719306"," 0.009105456"
"95SNIa5SNIa-91bg","-1.020201387","-1.029217411","-1.011544271"," 0.008996260"
"95SNIa5SNIax","-1.048050738","-1.056057080","-1.038829011"," 0.008796642"
"95SNIa5SNIbc","-1.043975086","-1.052909798","-1.035458336"," 0.008836220"
"95SNIa5SNII","-1.061676225","-1.070068198","-1.053088543"," 0.008733866"
"98SNIa2AGN","-1.049722907","-1.058812950","-1.041909570"," 0.008815046"
"98SNIa2SNIa-91bg","-1.030259837","-1.038508289","-1.021314069"," 0.008710450"
"98SNIa2SNIax","-1.042121436","-1.051462625","-1.032482048"," 0.009200948"
"98SNIa2SNIbc","-1.041589701","-1.050603119","-1.033271841"," 0.008548873"
"98SNIa2SNII","-1.042310065","-1.051203384","-1.033492431"," 0.008775806"
"99.6SNIa0.4TDE","-1.034306367","-1.043108761","-1.025859702"," 0.008774823"
"99.7SNIa0.3CART","-1.033595261","-1.042743531","-1.024563138"," 0.008950778"
"99SNIa1AGN","-1.037479397","-1.046870387","-1.028947343"," 0.008788067"
"99SNIa1SLSN","-1.058034006","-1.066896029","-1.049365257"," 0.008927381"
"99SNIa1SNIa-91bg","-1.032115957","-1.041343818","-1.022808050"," 0.009441435"
"99SNIa1SNIax","-1.039428644","-1.048834852","-1.030412587"," 0.009754955"
"99SNIa1SNIbc","-1.042180276","-1.051112382","-1.032765189"," 0.008965101"
"99SNIa1SNII","-1.039061531","-1.047703009","-1.029012450"," 0.009173287"
"fiducial3000","-1.040367122","-1.048819792","-1.030952752"," 0.008773776"
"perfect3000","-1.032119559","-1.040630688","-1.022952164"," 0.008988495"
"random3000","-1.071740782","-1.080782601","-1.062107730"," 0.009475355"
