case,other_name,other_code,nIa,nothers,perc_Ia,perc_others,wfit_w,wfit_wsig,wfit_om,wfit_omsig,wfit_w_lowz,wfit_wsig_lowz,wfit_om_lowz,wfit_omsig_lowz,stan_w,stan_wsig,stan_om,stan_omsig,stan_w_lowz,stan_wsig_lowz,stan_om_lowz,stan_omsig_lowz
95SNIa5SNIa-91bgfail3000,91bg,67,2927,2927,98.0,98.0,-0.667,0.0903,0.3213,0.0401,-0.997,0.1168,0.3825,0.0377,-1.5,0.11,0.44,0.02,-1.51,0.11,0.44,0.02
fiducial1000fail1001,"['TDE', 'II', 'Iax', 'Ibc', '91bg', 'AGN', 'SLSN']","[15, 42, 52, 62, 67, 88, 95]",870,"[8, 23, 29, 40, 24, 1, 6]",87.0,"[1.0, 2.0, 3.0, 4.0, 2.0, 0.0, 1.0]",0.038,0.0322,0.315,0.0401,-2.04,0.1315,0.5213,0.0184,-1.79,0.13,0.48,0.02,-1.8,0.12,0.48,0.02
99SNIa1SNIbc,Ibc,62,2970,2970,99.0,99.0,-0.746,0.1266,0.3387,0.0427,-1.059,0.1307,0.3975,0.0373,-1.55,0.11,0.44,0.02,-1.56,0.11,0.45,0.02
75SNIa25SNIaxfail3000,Iax,52,2886,2886,96.0,96.0,-0.502,0.0699,0.3188,0.0405,-1.55,0.2257,0.49,0.0343,-1.76,0.11,0.47,0.02,-1.76,0.12,0.48,0.02
random1000,"['TDE', 'II', 'Iax', 'Ibc', '91bg', 'AGN', 'SLSN']","[15, 42, 52, 62, 67, 88, 95]",539,"[4, 322, 21, 57, 13, 33, 12]",54.0,"[0.0, 32.0, 2.0, 6.0, 1.0, 3.0, 1.0]",0.04,0.0036,0.295,0.04,-2.04,0.0074,0.3525,0.0086,-1.98,0.02,0.5,0.49,-1.98,0.02,0.47,
75SNIa25SNII,II,42,2250,2250,75.0,75.0,0.04,0.0039,0.2988,0.04,-2.04,0.0084,0.4863,0.008,-1.99,-2.0,0.5,0.49,-1.99,0.01,0.49,
random6000,"['TDE', 'II', 'Iax', 'Ibc', '91bg', 'AGN', 'SLSN']","[15, 42, 52, 62, 67, 88, 95]",3233,"[26, 1931, 123, 339, 78, 198, 70]",54.0,"[0.0, 32.0, 2.0, 6.0, 1.0, 3.0, 1.0]",0.04,0.0,0.2625,0.04,-2.04,0.0024,0.5738,0.0076,-2.0,-2.0,0.51,0.5,-2.0,-2.0,,
75SNIa25AGNfail3000,AGN,88,2816,2816,94.0,94.0,-0.231,0.0466,0.3175,0.0403,-2.04,0.0362,0.5375,0.0094,-1.96,0.04,0.5,0.48,-1.96,0.04,,
98SNIa2TDEfail3000,TDE,15,2975,2975,99.0,99.0,-0.745,0.132,0.34,0.0433,-1.088,0.1384,0.405,0.0374,-1.54,0.11,0.44,0.02,-1.55,0.11,0.45,0.02
all_objs_survived_SALT2_WFD,"['TDE', 'II', 'Iax', 'Ibc', '91bg', 'AGN', 'SLSN']","[15, 42, 52, 62, 67, 88, 95]",933909,"[152, 59199, 23698, 6066, 881, 1290, 529]",91.0,"[0.0, 6.0, 2.0, 1.0, 0.0, 0.0, 0.0]",-0.955,0.1358,0.2988,0.0275,-1.173,0.0806,0.345,0.0187,-1.01,0.06,0.3,0.02,-1.13,0.06,0.34,0.02
50SNIa50SNIbcfail3000,Ibc,62,2685,2685,90.0,90.0,0.04,0.006,0.3038,0.0401,-2.04,0.0237,0.5325,0.0097,-1.98,0.02,0.51,0.49,-1.98,0.02,,
99SNIa1SLSN-I,SLSN,95,2970,2970,99.0,99.0,-0.732,0.3426,0.3725,0.0604,-1.308,0.1892,0.475,0.0347,-1.84,0.09,0.48,0.01,-1.85,0.09,0.49,0.01
95SNIa5SLSN-Ifail3000,SLSN,95,2935,2935,98.0,98.0,-2.04,0.4841,0.5463,0.0625,-1.958,0.1529,0.5663,0.0177,-1.95,0.04,0.49,0.47,-1.95,0.04,0.49,
fiducial6000fail5999,"['TDE', 'II', 'Iax', 'Ibc', '91bg', 'AGN', 'SLSN']","[15, 42, 52, 62, 67, 88, 95]",5217,"[49, 137, 174, 237, 145, 4, 36]",87.0,"[1.0, 2.0, 3.0, 4.0, 2.0, 0.0, 1.0]",-0.077,0.0259,0.315,0.0401,-2.04,0.0186,0.5913,0.0081,-1.99,-2.0,0.5,0.5,-1.99,-2.0,,
