case,other_name,other_code,nIa,nothers,perc_Ia,perc_others,accuracy,efficiency,purity,fom1,fom3,wfit_w_lowz,wfit_wsig_lowz,wfit_om_lowz,wfit_omsig_lowz,stan_w_lowz,stan_wsig_lowz,stan_om_lowz,stan_omsig_lowz,WassersteinDistanceMedian,KLD
95SNIa5SNIbc,"['Ibc', 'Ibc']","[3, 13]",2850,"[79, 71]",95.0,"[2.63, 2.37]",0.9092558983666061,0.95,0.95,0.9025,0.8636363636363636,-0.8515,0.047,0.309,0.0056,-1.04,0.02,0.3,4.4e-3,0.00793091513508272,417214.4485530185
98SNIa2AGN,AGN,70,2940,60,98.0,2.0,0.9637023593466425,0.98,0.98,0.9603999999999999,0.9423076923076923,-0.8705,0.024,0.309,0.0047,-1.04,0.02,0.31,4.2e-3,0.0158073396175132,1946189.9712151145
99SNIa1SNIa-91bg,91bg,41,2970,30,99.0,1.0,0.9818511796733213,0.99,0.99,0.9801,0.9705882352941176,-0.8515,0.0475,0.309,0.0058,-1.01,0.02,0.3,5.4e-3,0.013768373131025,1508731.2635929938
99SNIa1AGN,AGN,70,2970,30,99.0,1.0,0.9818511796733213,0.99,0.99,0.9801,0.9705882352941176,-0.8895,0.0131,0.3022,0.0052,-1.02,0.02,0.3,5.2e-3,0.00676940674592678,339547.12660103955
95SNIa5SNII,"['II', 'II', 'II']","[2, 12, 14]",2850,"[81, 58, 11]",95.0,"[2.7, 1.93, 0.37]",0.9092558983666061,0.95,0.95,0.9025,0.8636363636363636,-0.899,0.0115,0.3082,0.0048,-1.06,0.02,0.31,3.9e-3,0.0320935699400367,8372041.589625351
99SNIa1SLSN,SLSN,60,2970,30,99.0,1.0,0.9818511796733213,0.99,0.99,0.9801,0.9705882352941176,-0.7945,0.0074,0.305,0.0051,-1.07,0.02,0.31,3.5e-3,0.0371873489730694,16456078.425520085
fiducial3000,"['II', 'Ibc', 'II', 'Iax']","[2, 3, 14, 43]",2928,"[38, 1, 7, 26]",97.6,"[1.27, 0.03, 0.23, 0.87]",0.956442831215971,0.976,0.976,0.952576,0.9312977099236641,-0.861,0.0273,0.3077,0.005,-1.03,0.02,0.3,4.9e-3,0.0014410405119753401,-99.0
perfect3000,,,3000,,100.0,,1.0,1.0,1.0,1.0,1.0,-0.8705,0.0157,0.3055,0.005,-1.03,0.02,0.3,5.0e-3,0.11228216216908,0.0
99.6SNIa0.4TDE,TDE,64,2988,12,99.6,0.4,0.9927404718693283,0.996,0.996,0.992016,0.9880952380952379,-0.861,0.0338,0.309,0.0051,-1.04,0.02,0.3,4.6e-3,0.0136907871279746,1608251.9804476672
90SNIa10SNII,"['II', 'II', 'II']","[2, 12, 14]",2700,"[150, 126, 24]",90.0,"[5.0, 4.2, 0.8]",0.8185117967332124,0.9,0.9,0.81,0.75,-0.9845,0.0149,0.311,0.0039,-1.07,0.02,0.31,3.4e-3,0.0420403972904614,15772199.981173715
98SNIa2SNII,"['II', 'II', 'II']","[2, 12, 14]",2940,"[30, 27, 3]",98.0,"[1.0, 0.9, 0.1]",0.9637023593466425,0.98,0.98,0.9603999999999999,0.9423076923076923,-0.8135,0.0321,0.3002,0.0055,-1.04,0.02,0.31,4.3e-3,0.0150747736024311,1600893.397519911
72SNIa28SNII,"['II', 'II', 'II']","[2, 12, 14]",2160,"[393, 387, 60]",72.0,"[13.1, 12.9, 2.0]",0.4918330308529945,0.72,0.72,0.5184,0.46153846153846156,-1.2695,0.033,0.311,0.0012,-1.14,0.02,0.31,1.5e-3,0.11228216216908,457450006.76506394
90SNIa10SNIax,Iax,43,2700,300,90.0,10.0,0.8185117967332124,0.9,0.9,0.81,0.75,-0.8895,0.0098,0.3095,0.0047,-1.06,0.02,0.31,3.9e-3,0.0277870326756321,6421610.047804656
random3000,"['II', 'Ibc', 'II', 'Ibc', 'II', '91bg', 'Iax', 'CART', 'AGN']","[2, 3, 12, 13, 14, 41, 43, 63, 70]",2703,"[93, 14, 82, 4, 15, 4, 76, 4, 5]",90.1,"[3.1, 0.47, 2.73, 0.13, 0.5, 0.13, 2.53, 0.13, 0.17]",0.8203266787658802,0.901,0.901,0.811801,0.7520868113522537,-0.994,0.0139,0.311,0.004,-1.07,0.02,0.31,3.7e-3,0.0465346381788844,22770307.058741525
98SNIa2SNIa-91bg,91bg,41,2940,60,98.0,2.0,0.9637023593466425,0.98,0.98,0.9603999999999999,0.9423076923076923,-0.8895,0.0091,0.305,0.0051,-1.04,0.02,0.3,4.8e-3,0.00879624355614598,710139.5991365658
