case,other_name,other_code,nIa,nothers,perc_Ia,perc_others,accuracy,efficiency,purity,fom1,fom3,wfit_w_lowz,wfit_wsig_lowz,wfit_om_lowz,wfit_omsig_lowz,stan_w_lowz,stan_wsig_lowz,stan_om_lowz,stan_omsig_lowz,WassersteinDistanceMedian,KLD
95SNIa5SNIbc,"['Ibc', 'Ibc']","[3, 13]",2850,"[92, 58]",95.0,"[3.07, 1.93]",0.9092558983666061,0.95,0.95,0.9025,0.8204545454545454,-0.861,0.0296,0.309,0.0048,-1.03,0.02,0.31,4.3e-3,-99,-99
98SNIa2AGN,AGN,70,2940,60,98.0,2.0,0.9637023593466425,0.98,0.98,0.9603999999999999,0.9234615384615384,-0.88,0.0131,0.3074,0.0049,-1.04,0.02,0.3,4.5e-3,-99,-99
99SNIa1SNIa-91bg,91bg,41,2970,30,99.0,1.0,0.9818511796733213,0.99,0.99,0.9801,0.9608823529411764,-0.8515,0.0474,0.309,0.0057,-1.03,0.02,0.3,4.8e-3,-99,-99
99SNIa1AGN,AGN,70,2970,30,99.0,1.0,0.9818511796733213,0.99,0.99,0.9801,0.9608823529411764,-0.861,0.0348,0.3083,0.0052,-1.02,0.02,0.3,5.0e-3,-99,-99
95SNIa5SNII,"['II', 'II', 'II']","[2, 12, 14]",2850,"[84, 57, 9]",95.0,"[2.8, 1.9, 0.3]",0.9092558983666061,0.95,0.95,0.9025,0.8204545454545454,-0.8895,0.0117,0.311,0.0045,-1.06,0.02,0.31,3.8e-3,-99,-99
99SNIa1SLSN,SLSN,60,2970,30,99.0,1.0,0.9818511796733213,0.99,0.99,0.9801,0.9608823529411764,-0.804,0.0114,0.3009,0.0006,-1.07,0.02,0.31,3.7e-3,-99,-99
fiducial3000,"['II', 'II', 'Ibc', 'II', 'Iax']","[2, 12, 13, 14, 43]",2905,"[49, 1, 2, 9, 34]",96.83,"[1.63, 0.03, 0.07, 0.3, 1.13]",0.9425287356321839,0.9683333333333334,0.9683333333333334,0.9376694444444446,0.8818207941483804,-0.8515,0.045,0.309,0.0055,-1.04,0.02,0.3,4.6e-3,-99,-99
perfect3000,,,3000,,100.0,,1.0,1.0,1.0,1.0,1.0,-0.861,0.0333,0.308,0.0052,-1.02,0.02,0.3,5.1e-3,-99,-99
99.6SNIa0.4TDE,TDE,64,2988,12,99.6,0.4,0.9927404718693283,0.996,0.996,0.992016,0.984142857142857,-0.861,0.0372,0.309,0.0052,-1.04,0.02,0.3,4.7e-3,-99,-99
90SNIa10SNII,"['II', 'II', 'II']","[2, 12, 14]",2700,"[143, 130, 27]",90.0,"[4.77, 4.33, 0.9]",0.8185117967332124,0.9,0.9,0.81,0.675,-0.918,0.0284,0.3085,0.0048,-1.07,0.02,0.31,3.3e-3,-99,-99
98SNIa2SNII,"['II', 'II', 'II']","[2, 12, 14]",2940,"[32, 24, 4]",98.0,"[1.07, 0.8, 0.13]",0.9637023593466425,0.98,0.98,0.9603999999999999,0.9234615384615384,-0.8135,0.0292,0.301,0.0054,-1.05,0.02,0.31,4.1e-3,-99,-99
72SNIa28SNII,"['II', 'II', 'II']","[2, 12, 14]",2160,"[406, 364, 70]",72.0,"[13.53, 12.13, 2.33]",0.4918330308529945,0.72,0.72,0.5184,0.3323076923076923,-1.1745,0.0271,0.311,0.0015,-1.13,0.02,0.31,1.5e-3,-99,-99
90SNIa10SNIax,Iax,43,2700,300,90.0,10.0,0.8185117967332124,0.9,0.9,0.81,0.675,-0.9085,0.0197,0.3077,0.0049,-1.06,0.02,0.31,3.7e-3,-99,-99
random3000,"['II', 'Ibc', 'II', 'Ibc', 'II', 'Iax', 'CART', 'TDE', 'AGN']","[2, 3, 12, 13, 14, 43, 63, 64, 70]",2724,"[102, 7, 76, 8, 14, 56, 7, 1, 5]",90.8,"[3.4, 0.23, 2.53, 0.27, 0.47, 1.87, 0.23, 0.03, 0.17]",0.8330308529945554,0.908,0.908,0.8244640000000001,0.6963378378378379,-0.918,0.0322,0.306,0.005,-1.07,0.02,0.31,3.7e-3,-99,-99
