Unnamed: 0,case,other_name,other_code,nIa,nothers,perc_Ia,perc_others,accuracy,efficiency,purity,f1,fom3,wfit_w_lowz,wfit_wsig_lowz,wfit_om_lowz,wfit_omsig_lowz,stan_w_lowz,stan_wsig_lowz,stan_om_lowz,stan_omsig_lowz,WassersteinDistanceMedian,other_short,KLD
0,90SNIa10SNIax,Iax,43,2700,300,90.0,10.0,0.8185117967332124,0.9,0.9,0.9,0.675,-0.8895,0.0098,0.3095,0.0047,-1.06,0.02,0.31,0.0039,0.0538273305102807,Iax,5038.960244949181
1,99SNIa1SNIbc,"['Ibc', 'Ibc']","[3, 13]",2970,"[18, 12]",99.0,"[1.0, 0.0]",0.9818511796733213,0.99,0.99,0.99,0.9608823529411764,-0.861,0.0274,0.309,0.0049,-1.04,0.02,0.3,0.0045,0.0147273209569067,Ibc,257.4671537457875
2,75SNIa25SNII,"['II', 'II', 'II']","[2, 12, 14]",2250,"[394, 302, 54]",75.0,"[13.0, 10.0, 2.0]",0.5462794918330308,0.75,0.75,0.75,0.375,-1.146,0.0389,0.311,0.0017,-1.14,0.02,0.31,0.0017,0.11497620698755902,II,219850.72725056668
3,95SNIa5SNIax,Iax,43,2850,150,95.0,5.0,0.9092558983666059,0.95,0.95,0.95,0.8204545454545454,-0.8135,0.0356,0.3002,0.0055,-1.05,0.02,0.31,0.0042,0.0144085976586551,Iax,232.7128115371412
4,99SNIa1SLSN,SLSN,60,2970,30,99.0,1.0,0.9818511796733213,0.99,0.99,0.99,0.9608823529411764,-0.7945,0.0074,0.305,0.0051,-1.07,0.02,0.31,0.0035,0.0262361332731706,SLSN,836.2289258648525
5,99.7SNIa0.3CART,CART,63,2991,9,100.0,0.3,0.9945553539019965,0.997,0.997,0.997,0.9880805168986084,-0.861,0.0305,0.308,0.0051,-1.03,0.02,0.3,0.005,0.00912685027690605,CART,97.8251134628065
6,fiducial3000,"['II', 'II', 'Ibc', 'II', '91bg', 'Iax', 'SLSN']","[2, 12, 13, 14, 41, 43, 60]",2923,"[39, 4, 1, 6, 2, 24, 1]",97.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]",0.9534180278281912,0.9743333333333334,0.9743333333333334,0.9743333333333334,0.9029728387233144,-0.861,0.0273,0.3077,0.005,-1.03,0.02,0.3,0.0049,0.008395284896445629,mix,75.80006840912587
7,99.6SNIa0.4TDE,TDE,64,2988,12,100.0,0.4,0.9927404718693283,0.996,0.996,0.996,0.9841428571428572,-0.861,0.0338,0.309,0.0051,-1.04,0.02,0.3,0.0046,0.00134036863064965,TDE,1.6245952585813042
8,95SNIa5SNIbc,"['Ibc', 'Ibc']","[3, 13]",2850,"[83, 67]",95.0,"[3.0, 2.0]",0.9092558983666059,0.95,0.95,0.95,0.8204545454545454,-0.8515,0.047,0.309,0.0056,-1.04,0.02,0.3,0.0044,0.0159290916306617,Ibc,299.0203450535581
9,99SNIa1AGN,AGN,70,2970,30,99.0,1.0,0.9818511796733213,0.99,0.99,0.99,0.9608823529411764,-0.8895,0.0131,0.3022,0.0052,-1.02,0.02,0.3,0.0052,0.00148252559891989,AGN,1.8245067153928047
10,98SNIa2AGN,AGN,70,2940,60,98.0,2.0,0.9637023593466424,0.98,0.98,0.98,0.9234615384615384,-0.8705,0.024,0.309,0.0047,-1.04,0.02,0.31,0.0042,0.0167174353498409,AGN,337.73159785021136
11,98SNIa2SNII,"['II', 'II', 'II']","[2, 12, 14]",2940,"[31, 23, 6]",98.0,"[1.0, 1.0, 0.0]",0.9637023593466424,0.98,0.98,0.98,0.9234615384615384,-0.8135,0.0321,0.3002,0.0055,-1.04,0.02,0.31,0.0043,0.02904595205134,II,1029.7266246072456
12,random3000,"['II', 'Ibc', 'II', 'Ibc', 'II', '91bg', 'Iax', 'SLSN', 'ILOT', 'CART', 'TDE', 'AGN']","[2, 3, 12, 13, 14, 41, 43, 60, 62, 63, 64, 70]",2718,"[90, 12, 69, 6, 15, 4, 73, 1, 1, 2, 1, 8]",91.0,"[3.0, 0.0, 2.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.8294010889292196,0.906,0.906,0.906,0.6909393939393941,-0.994,0.0139,0.311,0.004,-1.07,0.02,0.31,0.0037,0.0401502639413383,mix,2172.6739364522127
13,90SNIa10SNIbc,"['Ibc', 'Ibc']","[3, 13]",2700,"[175, 125]",90.0,"[6.0, 4.0]",0.8185117967332124,0.9,0.9,0.9,0.675,-0.861,0.0416,0.311,0.0048,-1.06,0.02,0.31,0.0031,0.0335613486653384,Ibc,1719.2173496273276
14,perfect3000,,,3000,,100.0,,1.0,1.0,1.0,1.0,1.0,-0.8705,0.0157,0.3055,0.005,-1.03,0.02,0.3,0.005,0.0,,0.0
